Solution name,Objective,Similarity
1,84541,26.237
10,85358,24.796
100,86856,26.859
1000,86385,23.77
101,89602,23.22
102,84174,26.047
103,81965,26.297
104,84982,27.026
105,89568,22.014
106,86193,23.045
107,79513,31.365
108,80280,30.253
109,84738,24.869
11,81624,27.765
110,80295,28.784
111,82303,28.784
112,84669,25.527
113,88331,25.166
114,81864,27.247
115,84850,25.294
116,84263,25.702
117,80855,29.322
118,82914,25.673
119,88972,20.766
12,86577,27.334
120,82112,27.8
121,89066,22.742
122,84212,27.235
123,89841,22.415
124,85549,25.482
125,86672,23.765
126,83650,28.046
127,83815,28.026
128,88650,23.3
129,84677,25.859
13,84762,27.028
130,86315,27.654
131,80436,29.623
132,84900,24.682
133,86453,25.813
134,83259,28.481
135,83842,27.994
136,85227,26.757
137,85959,23.65
138,90263,25.385
139,83786,26.067
14,91104,21.293
140,86854,26.41
141,79877,29.581
142,87638,23.868
143,78459,32.684
144,84914,26.435
145,86730,25.004
146,86388,24.124
147,85758,26.272
148,83720,26.159
149,83904,27.79
15,88639,25.133
150,85137,24.148
151,83107,29.031
152,90233,23.187
153,83769,27.437
154,88684,21.49
155,84159,27.159
156,86125,23.203
157,80934,30.111
158,87803,24.471
159,84484,26.029
16,80542,30.732
160,83261,27.262
161,86088,25.447
162,83193,29.171
163,82480,27.868
164,82242,28.133
165,81156,28.712
166,85812,25.486
167,85295,24.208
168,85570,24.26
169,83506,27.148
17,88182,23.525
170,84446,26.764
171,83073,29.236
172,86737,24.275
173,88458,22.653
174,84062,28.644
175,85837,25.622
176,83885,27.147
177,86379,25.85
178,88986,22.191
179,85879,24.915
18,90403,22.291
180,86037,24.161
181,85148,24.632
182,83444,28.327
183,87875,25.38
184,82225,29.585
185,85423,24.478
186,84085,27.125
187,81039,29.618
188,85030,25.453
189,86502,25.728
19,83310,27.321
190,82070,27.028
191,85297,25.422
192,85742,24.861
193,88848,22.066
194,84710,27.446
195,86302,25.916
196,90647,21.6
197,87355,27.089
198,86185,23.371
199,84130,26.51
2,86875,24.7
20,85024,28.053
200,83519,28.11
201,86895,24.702
202,85859,24.78
203,84175,25.595
204,85353,24.675
205,82101,28.442
206,87417,25.458
207,81573,29.993
208,83039,26.589
209,85035,23.623
21,85547,24.773
210,85523,26.738
211,84673,27.126
212,84851,26.913
213,84771,26.207
214,85037,22.887
215,88636,22.159
216,92044,19.96
217,82426,27.545
218,84737,24.658
219,88160,22.78
22,81605,28.958
220,90540,21.832
221,86821,24.996
222,89074,22.825
223,85284,24.796
224,83994,27.003
225,88509,25.84
226,80178,30.396
227,79265,30.775
228,84981,26.258
229,82485,26.421
23,82266,28.4
230,85626,23.942
231,85784,26.391
232,90678,21.617
233,78610,31.055
234,83830,26.845
235,84673,27.615
236,85061,24.948
237,86555,25.055
238,79670,30.114
239,84997,25.913
24,83221,27.571
240,81591,28.644
241,83909,28.712
242,86860,26.66
243,84109,26.857
244,84602,24.297
245,85972,24.709
246,85804,25.47
247,90220,22.195
248,86429,24.507
249,82525,25.873
25,85128,27.974
250,84129,25.793
251,83048,28.994
252,81425,29.262
253,82515,27.921
254,87231,25.313
255,83319,27.538
256,86792,24.426
257,85359,24.962
258,83349,27.92
259,83931,27.196
26,87155,23.797
260,83910,26.617
261,87410,23.555
262,83656,26.867
263,82618,28.023
264,80550,31.179
265,86024,25.137
266,83519,28.669
267,84985,26.401
268,86631,23.79
269,82630,26.927
27,84151,24.731
270,85327,25.437
271,84001,25.947
272,85316,25.724
273,87244,25.758
274,91707,21.276
275,84433,27.057
276,84765,26.866
277,85183,25.402
278,83397,26.081
279,81032,29.721
28,84213,27.286
280,90362,24.075
281,80690,30.309
282,86437,25.585
283,84942,25.752
284,84423,27.881
285,83465,26.13
286,88353,22.779
287,87511,24.024
288,83682,27.346
289,78500,31.353
29,89583,26.577
290,83467,27.279
291,83030,27.475
292,86802,25.292
293,84340,28.025
294,83160,27.712
295,82239,26.04
296,81894,28.417
297,82817,27.811
298,88105,23.504
299,83305,26.077
3,86007,24.31
30,86104,26.096
300,90434,19.053
301,86445,26.924
302,85101,25.789
303,88043,22.638
304,84760,26.46
305,80728,31.01
306,81308,27.637
307,86984,25.564
308,80272,29.708
309,79715,30.483
31,84021,26.908
310,82756,26.455
311,79303,31.245
312,83391,26.424
313,88578,24.492
314,82962,28.055
315,86393,25.582
316,85866,26.3
317,78757,32.559
318,81464,28.776
319,85059,24.929
32,84576,26.106
320,84909,26.647
321,89445,22.635
322,87456,26.057
323,81919,29.061
324,86102,26.021
325,82055,28.914
326,86515,23.384
327,81806,31.675
328,91406,22.966
329,87291,24.524
33,86477,26.562
330,81542,27.735
331,86205,25.863
332,89540,25.218
333,82761,27.921
334,85597,24.892
335,80368,30.499
336,80800,29.625
337,88312,23.506
338,83163,27.089
339,86268,24.76
34,87759,23.038
340,86862,23.652
341,82254,29.031
342,80078,29.181
343,86571,24.707
344,88236,20.991
345,85208,26.036
346,80554,28.435
347,85782,23.355
348,84101,28.08
349,82221,29.474
35,83696,24.073
350,83057,27.277
351,79501,30.071
352,88811,22.525
353,82188,28.445
354,88255,24.207
355,84386,27.1
356,85152,25.337
357,82172,29.027
358,85333,26.315
359,83695,27.518
36,84170,26.025
360,83987,26.659
361,84565,27.43
362,82076,29.131
363,85848,25.75
364,82302,27.661
365,84630,26.446
366,90369,21.096
367,89824,24.091
368,85129,25.368
369,84921,24.906
37,89203,24.299
370,81189,30.557
371,87155,24.013
372,85315,24.626
373,81716,27.932
374,87516,23.75
375,88925,21.698
376,80565,31.12
377,84536,26.957
378,83028,26.928
379,85352,26.574
38,81954,28.549
380,86568,23.189
381,88102,24.709
382,80642,30.007
383,80739,30.283
384,85983,25.079
385,86962,23.799
386,86181,25.305
387,85022,25.13
388,87710,24.428
389,90033,22.612
39,86409,24.461
390,90624,24.545
391,84459,26.289
392,87884,25.508
393,86446,23.05
394,87757,22.939
395,84411,26.66
396,84396,27.339
397,84878,29.022
398,82933,26.378
399,86683,23.833
4,85016,23.442
40,86025,26.033
400,87275,23.239
401,81545,28.934
402,84080,22.822
403,86103,24.294
404,83461,27.336
405,83618,26.772
406,84130,25.806
407,83406,28.582
408,86389,26.086
409,85458,24.514
41,90453,24.037
410,83784,26.978
411,83826,27.721
412,82652,29.573
413,87256,25.021
414,82347,27.489
415,85216,26.313
416,81938,27.741
417,81670,27.166
418,85658,27.934
419,83880,28.07
42,82247,27.606
420,84966,26.582
421,84835,25.845
422,84810,25.752
423,84475,28.183
424,82955,28.049
425,82280,28.648
426,82928,27.414
427,77776,32.048
428,88439,24.803
429,86366,25.555
43,84481,26.258
430,83838,26.891
431,85617,27.586
432,81499,29.338
433,80030,28.196
434,89980,23.52
435,79809,30.729
436,84142,30.139
437,87574,23.183
438,84640,26.866
439,82368,26.905
44,87624,22.797
440,79807,31.647
441,81851,26.836
442,82075,25.517
443,80284,29.6
444,86615,24.107
445,82699,28.912
446,85311,27.932
447,86742,24.205
448,82677,28.704
449,83510,27.346
45,86870,24.588
450,85808,25.499
451,83978,25.832
452,86752,25.922
453,80151,27.93
454,89455,21.66
455,90492,22.735
456,86036,24.72
457,86186,25.819
458,86340,23.635
459,85208,24.739
46,83803,27.712
460,85473,24.633
461,86733,24.575
462,82396,28.861
463,85743,26.432
464,86145,22.947
465,88152,22.272
466,85899,25.86
467,81188,28.645
468,81826,27.99
469,83720,27.805
47,85762,26.82
470,85907,25.246
471,86270,25.15
472,85227,24.72
473,81770,27.807
474,85868,25.251
475,84097,27.902
476,87487,22.811
477,83951,25.797
478,87609,26.079
479,88150,23.033
48,84196,28.034
480,83026,27.429
481,90687,21.165
482,84679,26.735
483,80663,29.686
484,83044,27.361
485,80233,29.587
486,84442,26.781
487,82751,26.724
488,84310,27.138
489,88452,24.026
49,84545,25.528
490,81864,28.048
491,88497,23.57
492,87018,25.24
493,80463,30.148
494,88866,23.483
495,82225,28.523
496,83052,26.433
497,83454,28.487
498,77706,33.112
499,86375,26.582
5,88861,23.762
50,85613,22.936
500,85019,25.031
501,82434,26.128
502,80794,28.946
503,88573,23.828
504,87546,24.01
505,84702,27.67
506,80949,27.871
507,82626,27.893
508,84704,27.015
509,85532,27.08
51,78013,32.256
510,86223,25.701
511,83048,27.572
512,82625,27.961
513,87891,23.061
514,84651,23.9
515,86123,24.345
516,86039,24.298
517,82082,29.785
518,82139,29.475
519,86494,24.633
52,83991,27.227
520,81091,30.301
521,78336,31.453
522,84018,23.822
523,82547,27.641
524,85880,23.377
525,83648,28.085
526,86848,23.49
527,88763,25.292
528,86933,24.975
529,85582,24.26
53,89349,23.195
530,85123,25.962
531,85743,23.08
532,84746,26.808
533,88104,24.783
534,83500,24.404
535,83424,27.836
536,82805,27.846
537,87228,23.989
538,86849,23.324
539,85337,27.055
54,83042,26.616
540,89725,25.26
541,83276,25.602
542,85506,25.692
543,88751,23.258
544,78156,32.847
545,84850,29.024
546,86700,25.951
547,91606,19.81
548,83343,25.862
549,87837,23.779
55,86885,26.526
550,85084,25.193
551,91164,20.752
552,87946,23.308
553,87458,23.897
554,80895,30.161
555,84647,25.808
556,88718,22.821
557,82552,26.595
558,83021,28.003
559,78815,30.371
56,84312,26.783
560,85954,25.579
561,85251,25.52
562,85242,27.148
563,84302,26.334
564,87401,25.476
565,85776,23.582
566,88512,23.719
567,84496,26.566
568,82272,26.932
569,87297,23.542
57,87365,20.847
570,79876,28.622
571,80852,31.273
572,83360,27.276
573,87036,23.416
574,86153,24.153
575,86734,24.803
576,86903,22.503
577,87470,26.19
578,85377,27.671
579,80979,30.067
58,85483,25.679
580,82210,29.308
581,85020,24.868
582,86326,24.512
583,85054,25.325
584,84545,28.126
585,82116,27.155
586,83223,27.127
587,79638,31.055
588,82474,27.374
589,83613,25.713
59,82873,28.348
590,88681,25.209
591,86135,24.367
592,79454,31.384
593,79023,31.805
594,85300,25.164
595,84104,25.144
596,85624,24.059
597,85482,23.751
598,88106,25.428
599,85635,27.707
6,87646,24.299
60,84275,24.062
600,84832,26.623
601,82691,27.616
602,83983,29.34
603,84431,26.19
604,83697,27.695
605,80360,29.366
606,83073,26.444
607,86098,25.392
608,85076,23.813
609,87216,24.625
61,79775,30.091
610,87144,24.48
611,81529,28.678
612,84041,25.708
613,83464,27.895
614,84199,25.948
615,88801,24.628
616,86870,22.04
617,85299,26.125
618,81979,28.152
619,77862,30.607
62,88880,25.504
620,82935,29.576
621,85900,27.458
622,84900,24.114
623,85763,26.097
624,83779,26.669
625,87696,25.335
626,83114,28.319
627,84824,25.36
628,81028,28.772
629,87712,23.922
63,79345,29.64
630,87195,24.116
631,85179,25.096
632,82610,27.578
633,82480,27.8
634,87042,26.241
635,80205,28.157
636,89148,22.706
637,83632,26.596
638,83313,27.908
639,83337,28.79
64,84545,24.79
640,86394,26.263
641,86949,26.379
642,89931,25.258
643,93907,19.951
644,81263,30.052
645,82850,25.211
646,85569,27.267
647,83134,28.052
648,86764,23.251
649,80769,28.123
65,89137,23.639
650,84724,26.927
651,86976,23.779
652,85785,27.967
653,83297,26.562
654,85947,23.668
655,81211,29.562
656,87492,23.554
657,86786,25.104
658,84817,27.509
659,84796,27.415
66,79994,30.461
660,81119,29.032
661,85722,23.822
662,86382,25.195
663,87505,23.896
664,84180,26.186
665,83691,26.357
666,84650,27.594
667,86684,26.149
668,82773,27.982
669,82800,28.474
67,89650,24.72
670,85047,25.469
671,82216,27.735
672,82604,28.987
673,85468,25.289
674,84810,27.257
675,79737,29.312
676,80263,30.715
677,80677,27.301
678,84983,25.305
679,88989,22.551
68,83816,26.98
680,86771,23.88
681,87514,23.058
682,87351,23.51
683,83189,27.149
684,80968,29.882
685,83159,28.369
686,80462,29.076
687,80229,29.475
688,87337,24.194
689,83552,28.199
69,80969,28.481
690,79650,30.908
691,83546,28.37
692,91300,22.901
693,87379,23.616
694,84681,25.757
695,83364,27.727
696,86065,26.897
697,83237,26.361
698,85097,26.275
699,84082,30.054
7,85427,25.413
70,85589,27.779
700,86425,25.642
701,84478,25.991
702,88667,25.397
703,83237,25.578
704,86233,25.382
705,86073,25.539
706,82151,26.896
707,89559,21.919
708,79493,32.549
709,84117,26.799
71,88614,24.959
710,84230,26.035
711,80458,30.392
712,83605,26.868
713,82057,27.858
714,84593,27.018
715,85204,24.163
716,81954,28.084
717,84448,25.398
718,80207,30.131
719,83800,28.135
72,82413,27.731
720,85109,26.37
721,86048,25.28
722,80027,30.243
723,84235,25.089
724,80364,28.878
725,78755,31.19
726,87271,24.692
727,80231,29.968
728,87520,25.102
729,85241,24.872
73,83314,27.242
730,86064,24.564
731,82462,26.81
732,86423,24.921
733,82560,27.553
734,86104,25.848
735,81389,28.852
736,82527,30.406
737,82627,28.529
738,81795,29.14
739,82217,29.017
74,83073,25.541
740,86738,22.446
741,83530,27.787
742,83864,26.043
743,85836,26.054
744,82151,27.957
745,83256,25.783
746,88784,22.471
747,88396,25.321
748,85771,27.471
749,85598,25.13
75,83901,27.174
750,85668,26.868
751,85498,25.726
752,84870,28.473
753,86188,24.149
754,81212,29.959
755,85604,24.343
756,81627,28.153
757,88442,23.322
758,84572,25.84
759,83780,26.635
76,84898,26.399
760,82252,27.509
761,82859,26.301
762,79338,28.828
763,80343,31.462
764,91171,23.522
765,81902,28.935
766,81164,27.851
767,84148,29.006
768,92404,21.189
769,81119,29.512
77,86690,26.081
770,84376,26.813
771,86022,26.883
772,85020,24.206
773,82736,26.508
774,89806,23.702
775,79343,29.25
776,85769,26.018
777,82806,27.987
778,83177,28.537
779,88229,22.647
78,80196,30.493
780,83977,26.881
781,90739,21.263
782,84237,27.006
783,86211,25.968
784,86027,26.157
785,82032,27.833
786,86655,23.806
787,86427,21.899
788,86040,27.34
789,83308,27.969
79,89565,24.743
790,82115,26.339
791,83772,26.816
792,84626,27.838
793,86879,25.281
794,83820,25.699
795,80998,27.831
796,81524,26.435
797,87563,25.631
798,81553,30.969
799,86067,26.11
8,78604,33.006
80,84554,25.923
800,83327,27.188
801,82662,28.015
802,90237,21.321
803,86178,25.161
804,85756,24.352
805,79392,29.263
806,85823,26.201
807,91261,23.295
808,84729,25.36
809,82632,28.852
81,85705,25.23
810,81561,30.292
811,82834,28.956
812,83354,26.294
813,84817,26.425
814,82408,28.159
815,84702,26.016
816,81917,26.51
817,87268,24.838
818,82362,27.259
819,84156,26.792
82,86502,22.834
820,86855,23.981
821,84096,25.811
822,84150,28.191
823,82073,29.346
824,87319,24.948
825,86427,23.794
826,80050,30.602
827,87436,21.647
828,83767,26.485
829,86438,24.041
83,85270,25.7
830,80091,32.017
831,84498,24.564
832,84349,25.539
833,86568,24.564
834,84757,24.672
835,86244,27.267
836,84919,25.657
837,82197,26.439
838,82682,28.159
839,84686,26.685
84,85340,28.096
840,86904,24.935
841,85719,24.957
842,86559,26.324
843,83907,27.201
844,88143,24.645
845,81326,29.624
846,81075,30.288
847,83666,26.773
848,85359,24.442
849,87773,23.89
85,82491,28.602
850,87642,25.363
851,85382,25.156
852,85159,24.053
853,81090,28.339
854,84416,22.698
855,85672,24.071
856,87795,23.394
857,85721,27.356
858,85084,25.072
859,85138,25.507
86,85561,25.023
860,87423,24.962
861,87818,22.694
862,81171,28.128
