Solution name,Objective,Similarity
1,84541,16
10,85358,20
100,86856,23
1000,86385,18
101,89602,16
102,84174,13
103,81965,30
104,84982,19
105,89568,13
106,86193,21
107,79513,15
108,80280,32
109,84738,15
11,81624,23
110,80295,13
111,82303,20
112,84669,14
113,88331,17
114,81864,18
115,84850,19
116,84263,21
117,80855,26
118,82914,21
119,88972,13
12,86577,18
120,82112,18
121,89066,10
122,84212,8
123,89841,14
124,85549,15
125,86672,14
126,83650,12
127,83815,22
128,88650,14
129,84677,8
13,84762,24
130,86315,18
131,80436,23
132,84900,20
133,86453,17
134,83259,25
135,83842,23
136,85227,9
137,85959,18
138,90263,18
139,83786,8
14,91104,13
140,86854,17
141,79877,15
142,87638,9
143,78459,29
144,84914,17
145,86730,9
146,86388,18
147,85758,16
148,83720,4
149,83904,19
15,88639,17
150,85137,11
151,83107,8
152,90233,16
153,83769,18
154,88684,14
155,84159,14
156,86125,15
157,80934,19
158,87803,8
159,84484,22
16,80542,20
160,83261,14
161,86088,17
162,83193,30
163,82480,17
164,82242,16
165,81156,20
166,85812,16
167,85295,13
168,85570,17
169,83506,21
17,88182,19
170,84446,15
171,83073,10
172,86737,20
173,88458,14
174,84062,27
175,85837,17
176,83885,15
177,86379,12
178,88986,15
179,85879,9
18,90403,15
180,86037,11
181,85148,10
182,83444,21
183,87875,22
184,82225,13
185,85423,23
186,84085,10
187,81039,18
188,85030,14
189,86502,12
19,83310,18
190,82070,12
191,85297,8
192,85742,20
193,88848,15
194,84710,7
195,86302,19
196,90647,12
197,87355,9
198,86185,17
199,84130,13
2,86875,15
20,85024,23
200,83519,27
201,86895,24
202,85859,16
203,84175,23
204,85353,10
205,82101,19
206,87417,19
207,81573,28
208,83039,14
209,85035,6
21,85547,11
210,85523,21
211,84673,13
212,84851,18
213,84771,16
214,85037,13
215,88636,14
216,92044,12
217,82426,28
218,84737,14
219,88160,12
22,81605,22
220,90540,12
221,86821,20
222,89074,12
223,85284,17
224,83994,15
225,88509,21
226,80178,30
227,79265,11
228,84981,18
229,82485,13
23,82266,22
230,85626,8
231,85784,10
232,90678,15
233,78610,26
234,83830,13
235,84673,18
236,85061,6
237,86555,15
238,79670,30
239,84997,17
24,83221,13
240,81591,19
241,83909,28
242,86860,15
243,84109,21
244,84602,19
245,85972,18
246,85804,16
247,90220,16
248,86429,17
249,82525,10
25,85128,19
250,84129,18
251,83048,12
252,81425,7
253,82515,24
254,87231,12
255,83319,29
256,86792,18
257,85359,10
258,83349,16
259,83931,12
26,87155,14
260,83910,12
261,87410,13
262,83656,23
263,82618,30
264,80550,27
265,86024,20
266,83519,26
267,84985,13
268,86631,17
269,82630,14
27,84151,14
270,85327,16
271,84001,9
272,85316,15
273,87244,20
274,91707,7
275,84433,11
276,84765,16
277,85183,9
278,83397,13
279,81032,15
28,84213,12
280,90362,15
281,80690,23
282,86437,14
283,84942,12
284,84423,19
285,83465,14
286,88353,17
287,87511,12
288,83682,14
289,78500,16
29,89583,24
290,83467,12
291,83030,17
292,86802,7
293,84340,10
294,83160,13
295,82239,19
296,81894,26
297,82817,20
298,88105,18
299,83305,11
3,86007,18
30,86104,21
300,90434,15
301,86445,15
302,85101,10
303,88043,21
304,84760,22
305,80728,15
306,81308,20
307,86984,21
308,80272,31
309,79715,7
31,84021,18
310,82756,12
311,79303,21
312,83391,15
313,88578,17
314,82962,6
315,86393,13
316,85866,20
317,78757,34
318,81464,17
319,85059,16
32,84576,24
320,84909,16
321,89445,14
322,87456,10
323,81919,9
324,86102,15
325,82055,14
326,86515,11
327,81806,21
328,91406,9
329,87291,23
33,86477,20
330,81542,14
331,86205,14
332,89540,21
333,82761,19
334,85597,17
335,80368,24
336,80800,18
337,88312,12
338,83163,22
339,86268,16
34,87759,11
340,86862,6
341,82254,13
342,80078,26
343,86571,14
344,88236,14
345,85208,11
346,80554,29
347,85782,10
348,84101,15
349,82221,12
35,83696,16
350,83057,19
351,79501,20
352,88811,10
353,82188,13
354,88255,11
355,84386,14
356,85152,12
357,82172,21
358,85333,10
359,83695,19
36,84170,20
360,83987,10
361,84565,14
362,82076,13
363,85848,18
364,82302,23
365,84630,9
366,90369,13
367,89824,17
368,85129,23
369,84921,14
37,89203,12
370,81189,14
371,87155,15
372,85315,13
373,81716,17
374,87516,14
375,88925,12
376,80565,24
377,84536,19
378,83028,18
379,85352,16
38,81954,23
380,86568,7
381,88102,14
382,80642,22
383,80739,14
384,85983,9
385,86962,6
386,86181,10
387,85022,16
388,87710,20
389,90033,17
39,86409,16
390,90624,12
391,84459,14
392,87884,16
393,86446,16
394,87757,13
395,84411,17
396,84396,13
397,84878,21
398,82933,19
399,86683,9
4,85016,11
40,86025,17
400,87275,14
401,81545,12
402,84080,12
403,86103,9
404,83461,21
405,83618,14
406,84130,6
407,83406,11
408,86389,9
409,85458,17
41,90453,15
410,83784,30
411,83826,14
412,82652,18
413,87256,17
414,82347,20
415,85216,21
416,81938,19
417,81670,22
418,85658,12
419,83880,22
42,82247,11
420,84966,11
421,84835,21
422,84810,12
423,84475,14
424,82955,30
425,82280,22
426,82928,3
427,77776,18
428,88439,17
429,86366,21
43,84481,20
430,83838,18
431,85617,32
432,81499,9
433,80030,13
434,89980,13
435,79809,16
436,84142,17
437,87574,9
438,84640,10
439,82368,17
44,87624,18
440,79807,32
441,81851,12
442,82075,19
443,80284,16
444,86615,14
445,82699,25
446,85311,25
447,86742,9
448,82677,19
449,83510,17
45,86870,25
450,85808,6
451,83978,14
452,86752,25
453,80151,35
454,89455,17
455,90492,12
456,86036,13
457,86186,12
458,86340,20
459,85208,21
46,83803,11
460,85473,13
461,86733,18
462,82396,15
463,85743,11
464,86145,10
465,88152,18
466,85899,14
467,81188,26
468,81826,24
469,83720,27
47,85762,22
470,85907,17
471,86270,17
472,85227,9
473,81770,16
474,85868,9
475,84097,14
476,87487,15
477,83951,18
478,87609,11
479,88150,9
48,84196,18
480,83026,19
481,90687,4
482,84679,12
483,80663,15
484,83044,23
485,80233,10
486,84442,17
487,82751,25
488,84310,18
489,88452,18
49,84545,17
490,81864,20
491,88497,10
492,87018,15
493,80463,20
494,88866,11
495,82225,11
496,83052,13
497,83454,17
498,77706,100
499,86375,11
5,88861,14
50,85613,9
500,85019,13
501,82434,16
502,80794,21
503,88573,10
504,87546,15
505,84702,16
506,80949,16
507,82626,13
508,84704,11
509,85532,9
51,78013,21
510,86223,25
511,83048,9
512,82625,14
513,87891,15
514,84651,14
515,86123,8
516,86039,11
517,82082,12
518,82139,14
519,86494,21
52,83991,18
520,81091,25
521,78336,31
522,84018,22
523,82547,19
524,85880,20
525,83648,11
526,86848,12
527,88763,5
528,86933,20
529,85582,15
53,89349,10
530,85123,18
531,85743,15
532,84746,17
533,88104,14
534,83500,22
535,83424,12
536,82805,15
537,87228,21
538,86849,16
539,85337,9
54,83042,20
540,89725,23
541,83276,12
542,85506,10
543,88751,13
544,78156,12
545,84850,21
546,86700,11
547,91606,9
548,83343,14
549,87837,21
55,86885,21
550,85084,20
551,91164,17
552,87946,7
553,87458,5
554,80895,16
555,84647,12
556,88718,18
557,82552,22
558,83021,22
559,78815,20
56,84312,21
560,85954,11
561,85251,14
562,85242,7
563,84302,8
564,87401,15
565,85776,20
566,88512,16
567,84496,16
568,82272,10
569,87297,8
57,87365,9
570,79876,22
571,80852,28
572,83360,14
573,87036,17
574,86153,16
575,86734,14
576,86903,13
577,87470,12
578,85377,23
579,80979,32
58,85483,12
580,82210,21
581,85020,9
582,86326,12
583,85054,18
584,84545,22
585,82116,9
586,83223,26
587,79638,20
588,82474,14
589,83613,17
59,82873,10
590,88681,9
591,86135,14
592,79454,25
593,79023,23
594,85300,14
595,84104,19
596,85624,16
597,85482,9
598,88106,7
599,85635,18
6,87646,13
60,84275,12
600,84832,15
601,82691,18
602,83983,21
603,84431,14
604,83697,15
605,80360,19
606,83073,13
607,86098,19
608,85076,19
609,87216,28
61,79775,26
610,87144,15
611,81529,10
612,84041,15
613,83464,15
614,84199,23
615,88801,21
616,86870,16
617,85299,22
618,81979,31
619,77862,24
62,88880,31
620,82935,17
621,85900,13
622,84900,16
623,85763,24
624,83779,16
625,87696,29
626,83114,17
627,84824,21
628,81028,19
629,87712,10
63,79345,32
630,87195,18
631,85179,7
632,82610,19
633,82480,14
634,87042,15
635,80205,21
636,89148,21
637,83632,22
638,83313,23
639,83337,16
64,84545,16
640,86394,17
641,86949,15
642,89931,6
643,93907,10
644,81263,10
645,82850,19
646,85569,16
647,83134,17
648,86764,19
649,80769,20
65,89137,19
650,84724,19
651,86976,12
652,85785,12
653,83297,16
654,85947,11
655,81211,12
656,87492,10
657,86786,16
658,84817,24
659,84796,25
66,79994,21
660,81119,16
661,85722,15
662,86382,6
663,87505,11
664,84180,17
665,83691,16
666,84650,21
667,86684,21
668,82773,14
669,82800,13
67,89650,24
670,85047,15
671,82216,29
672,82604,12
673,85468,14
674,84810,12
675,79737,25
676,80263,24
677,80677,14
678,84983,12
679,88989,17
68,83816,23
680,86771,8
681,87514,10
682,87351,18
683,83189,25
684,80968,18
685,83159,16
686,80462,9
687,80229,24
688,87337,13
689,83552,17
69,80969,11
690,79650,34
691,83546,13
692,91300,11
693,87379,16
694,84681,6
695,83364,17
696,86065,14
697,83237,7
698,85097,23
699,84082,28
7,85427,14
70,85589,25
700,86425,10
701,84478,20
702,88667,25
703,83237,18
704,86233,12
705,86073,18
706,82151,25
707,89559,15
708,79493,8
709,84117,10
71,88614,11
710,84230,23
711,80458,21
712,83605,29
713,82057,10
714,84593,26
715,85204,18
716,81954,13
717,84448,13
718,80207,17
719,83800,13
72,82413,11
720,85109,19
721,86048,12
722,80027,9
723,84235,14
724,80364,8
725,78755,10
726,87271,17
727,80231,27
728,87520,20
729,85241,12
73,83314,21
730,86064,21
731,82462,13
732,86423,11
733,82560,24
734,86104,9
735,81389,28
736,82527,28
737,82627,19
738,81795,14
739,82217,31
74,83073,12
740,86738,7
741,83530,7
742,83864,11
743,85836,15
744,82151,25
745,83256,20
746,88784,12
747,88396,21
748,85771,20
749,85598,19
75,83901,27
750,85668,20
751,85498,14
752,84870,19
753,86188,17
754,81212,40
755,85604,10
756,81627,16
757,88442,7
758,84572,18
759,83780,17
76,84898,18
760,82252,7
761,82859,33
762,79338,17
763,80343,20
764,91171,21
765,81902,12
766,81164,29
767,84148,18
768,92404,7
769,81119,10
77,86690,21
770,84376,19
771,86022,16
772,85020,14
773,82736,19
774,89806,18
775,79343,25
776,85769,16
777,82806,13
778,83177,31
779,88229,11
78,80196,27
780,83977,15
781,90739,14
782,84237,18
783,86211,13
784,86027,15
785,82032,13
786,86655,14
787,86427,8
788,86040,18
789,83308,17
79,89565,19
790,82115,13
791,83772,11
792,84626,6
793,86879,18
794,83820,19
795,80998,23
796,81524,24
797,87563,21
798,81553,13
799,86067,9
8,78604,17
80,84554,21
800,83327,12
801,82662,28
802,90237,9
803,86178,9
804,85756,22
805,79392,29
806,85823,13
807,91261,25
808,84729,17
809,82632,13
81,85705,21
810,81561,20
811,82834,17
812,83354,11
813,84817,17
814,82408,12
815,84702,20
816,81917,13
817,87268,11
818,82362,18
819,84156,19
82,86502,19
820,86855,18
821,84096,25
822,84150,31
823,82073,19
824,87319,17
825,86427,19
826,80050,11
