Solution name,Objective,Similarity
1,79739,13.814
10,76061,15.232
100,77842,14.26
1000,76677,15.268
101,78651,14.298
102,75011,15.638
103,75566,15.988
104,78059,14.789
105,74000,16.005
106,75426,14.981
107,79388,14.012
108,72378,17.909
109,75482,15.042
11,74399,15.689
110,77369,14.904
111,78367,14.21
112,76118,15.751
113,76423,15.288
114,81794,13.274
115,78134,15.097
116,75182,15.53
117,75189,16.268
118,76258,15.85
119,76302,15.437
12,74941,16.24
120,83627,12.291
121,76704,15.758
122,78571,15.764
123,81266,13.08
124,76215,14.955
125,78984,13.164
126,81217,13.672
127,83746,12.128
128,82801,12.366
129,79784,14.036
13,79776,12.864
130,75251,15.345
131,81019,13.175
132,79831,13.502
133,76373,15.514
134,83456,12.381
135,78972,14.058
136,76973,15.067
137,79108,13.187
138,82749,12.509
139,81277,13.333
14,79589,12.925
140,78184,14.573
141,75549,15.764
142,72353,16.248
143,79781,13.871
144,73229,15.985
145,77741,14.647
146,77479,14.635
147,76390,16.297
148,79979,13.225
149,80022,12.798
15,76077,15.813
150,77571,14.669
151,78971,14.976
152,75813,15.035
153,79042,13.212
154,73391,16.18
155,74233,16.429
156,79830,14.101
157,78962,15.245
158,83097,13.26
159,76830,13.613
16,76065,14.774
160,78053,13.037
161,71070,17.067
162,81354,11.946
163,76659,14.351
164,79152,12.909
165,78575,14.312
166,77311,14.731
167,77972,14.314
168,78095,13.527
169,81402,12.924
17,77394,14.132
170,76848,14.68
171,79614,14.714
172,77283,13.654
173,77922,14.583
174,80799,13.89
175,80822,13.11
176,78889,13.986
177,73094,16.133
178,80592,12.697
179,81922,14.319
18,81439,12.611
180,76621,15.056
181,76353,15.78
182,72958,17.376
183,79565,14.071
184,75221,15.071
185,78335,14.751
186,78200,13.876
187,79037,14.985
188,74331,15.981
189,81776,12.71
19,79173,14.096
190,73197,16.548
191,72640,16.898
192,82037,12.376
193,75801,16.418
194,74777,16.034
195,74895,15.709
196,74965,14.404
197,78596,14.035
198,79898,12.978
199,78148,14.035
2,79293,14.494
20,75754,15.661
200,77240,15.054
201,76800,16.419
202,79673,12.12
203,77530,15.243
204,76230,14.482
205,77743,14.31
206,77841,14.639
207,77342,14.933
208,78234,13.41
209,82684,13.474
21,72668,17.463
210,76648,14.805
211,77769,13.018
212,71177,17.29
213,81806,13.119
214,75562,15.645
215,76612,14.391
216,75580,14.428
217,75440,15.466
218,83590,11.679
219,71203,18.474
22,80069,13.552
220,77487,15.083
221,79314,12.5
222,79311,13.723
223,75083,14.828
224,79912,13.404
225,81532,13.469
226,77812,13.818
227,83709,12.905
228,79748,13.853
229,75597,16.491
23,76339,15.169
230,75473,15.543
231,80706,12.605
232,80270,14.727
233,76794,15.087
234,80809,13.22
235,74387,15.345
236,76737,13.686
237,75565,15.305
238,81655,12.905
239,76469,16.4
24,76121,15.542
240,75181,14.968
241,77085,14.833
242,75572,15.029
243,76691,12.985
244,80163,13.128
245,74554,15.052
246,77693,15.213
247,82629,12.142
248,76983,14.737
249,77831,14.376
25,79675,14.166
250,81197,13.143
251,77232,15.345
252,76841,15.158
253,81676,13.264
254,78139,15.12
255,80075,13.931
256,78190,13.933
257,78404,12.666
258,81547,13.723
259,72166,17.508
26,74621,16.187
260,80220,13.737
261,75761,14.504
262,78532,13.442
263,77712,13.133
264,80781,14.546
265,81363,13.742
266,77262,14.115
267,77535,15.711
268,74251,15.956
269,75882,15.193
27,78391,13.918
270,75764,15.758
271,81989,11.735
272,85321,12.143
273,79960,13.802
274,79666,12.583
275,73255,15.789
276,77968,14.26
277,74559,14.615
278,72192,18.051
279,83564,12.832
28,77284,14.406
280,78941,13.486
281,78095,14.564
282,75656,15.538
283,76525,14.777
284,81241,14.045
285,77943,14.678
286,76900,13.955
287,73972,17.292
288,77211,15.172
289,76373,14.995
29,80915,14.381
290,80235,12.461
291,77045,14.863
292,80074,13.797
293,80072,12.486
294,77724,14.483
295,74610,16.087
296,77347,15.044
297,81758,12.844
298,79211,13.23
299,75750,15.12
3,76746,14.583
30,82632,12.428
300,74852,15.974
301,76728,15.038
302,73547,16.289
303,76605,14.345
304,77226,14.895
305,78942,13.338
306,77526,14.423
307,79226,14.006
308,81223,12.376
309,72903,16.061
31,83101,11.56
310,79672,13.901
311,79802,13.971
312,74410,15.556
313,78454,13.746
314,74863,16.151
315,74581,16.904
316,73471,16.923
317,74078,16.477
318,79229,13.718
319,79038,13.255
32,77488,14.187
320,85305,11.483
321,81009,11.985
322,84011,12.424
323,81802,12.252
324,79794,13.787
325,78665,14.671
326,76335,14.115
327,82662,13.506
328,75667,14.262
329,74833,16.226
33,81257,12.97
330,79909,13.482
331,81523,13.063
332,75994,15.889
333,79179,12.914
334,72906,16.99
335,83183,12.171
336,85723,11.302
337,80723,12.286
338,75921,13.511
339,81766,13.363
34,80679,13.242
340,90797,9.381
341,77308,13.56
342,75876,15.505
343,75786,15.616
344,82936,12.881
345,75571,14.787
346,79084,13.845
347,77918,14.274
348,74859,15.876
349,73476,17.461
35,72989,16.48
350,81594,13.029
351,78597,14.011
352,78128,14.575
353,86112,11.53
354,73460,15.241
355,74945,15.518
356,77047,14.646
357,76216,15.138
358,79690,13.518
359,75785,14.893
36,80004,12.848
360,78987,14.424
361,78941,12.807
362,77217,14.138
363,82289,12.275
364,77514,14.897
365,79035,12.726
366,75900,15.317
367,77966,14.94
368,79836,14.357
369,74365,16.869
37,81942,13.76
370,76125,14.248
371,82044,12.644
372,77150,15.565
373,80824,13.461
374,82436,12.377
375,80845,13.881
376,77356,13.672
377,82938,12.713
378,75953,15.828
379,78056,13.671
38,79855,12.689
380,79120,13.569
381,80316,13.288
382,78733,14.685
383,75779,14.932
384,78535,13.36
385,79887,13.095
386,73799,14.695
387,83926,11.387
388,71958,16.916
389,78554,14.003
39,79008,13.544
390,78166,14.155
391,77580,13.372
392,82037,12.823
393,77015,14.531
394,78977,13.749
395,76518,13.951
396,77651,15.257
397,78103,14.596
398,78418,14.78
399,75116,15.993
4,77233,14.778
40,81043,13.867
400,85224,14.033
401,78810,14.754
402,76895,14.75
403,81054,14.886
404,83883,12.777
405,75081,15.46
406,78022,14.231
407,78739,13.261
408,75729,14.211
409,80099,13.793
41,81543,13.56
410,73775,15.638
411,72963,16.503
412,79139,14.985
413,84332,11.471
414,78511,13.012
415,80336,13.543
416,72306,17.573
417,84220,11.802
418,81376,12.708
419,80797,13.579
42,78003,14.726
420,81226,12.624
421,78261,14.495
422,77957,13.704
423,75332,14.997
424,75719,15.339
425,75357,15.001
426,77584,14.245
427,75344,15.728
428,76087,15.863
429,76854,16.065
43,75806,15.831
430,79444,12.392
431,83749,11.452
432,78174,13.518
433,77035,14.436
434,74966,14.963
435,75690,14.487
436,79572,14.613
437,72109,17.088
438,82541,11.906
439,82218,12.863
44,80052,13.276
440,79483,12.502
441,83179,12.097
442,75350,15.624
443,76894,15.53
444,81695,12.518
445,82889,13.104
446,75489,14.429
447,82157,12.508
448,72866,16.525
449,83474,11.732
45,76591,15.517
450,75995,13.606
451,85130,12.229
452,77430,14.757
453,76234,15.579
454,75231,14.84
455,80323,14.175
456,81535,12.55
457,77561,13.945
458,79914,12.199
459,78712,13.149
46,81198,13.16
460,76474,14.472
461,81727,13.74
462,76985,15.142
463,79012,14.768
464,76175,16.567
465,81337,13.461
466,78928,13.64
467,73847,15.962
468,81576,12.969
469,76923,13.896
47,77464,14.896
470,80026,15.056
471,71778,16.963
472,79733,13.82
473,73985,16.368
474,78238,13.421
475,77753,15.1
476,76772,16.02
477,76756,13.863
478,75978,15.772
479,77035,13.337
48,74247,14.813
480,78157,13.854
481,82465,12.882
482,88022,11.499
483,79692,13.365
484,82488,12.413
485,79666,14.186
486,76906,15.335
487,76053,15.43
488,75338,14.935
489,81746,12.386
49,77676,13.198
490,76723,14.753
491,80989,13.985
492,80261,12.267
493,78464,12.801
494,77435,13.792
495,78490,14.631
496,75873,14.117
497,76671,14.949
498,84825,12.299
499,83531,11.819
5,79922,13.203
50,77460,15.188
500,77179,16.045
501,83133,12.773
502,77734,14.617
503,76206,15.417
504,79185,14.183
505,77858,14.491
506,79031,13.904
507,78627,14.505
508,77138,13.521
509,74943,15.767
51,79248,13.511
510,74285,15.1
511,78171,14.543
512,76653,14.826
513,78046,14.185
514,79056,12.624
515,79045,13.842
516,78138,12.882
517,86105,10.319
518,74567,15.696
519,78038,14.811
52,77507,13.45
520,75536,16.019
521,78003,13.972
522,79953,13.791
523,86930,11.43
524,72633,17.255
525,84447,12.425
526,82491,14.011
527,81330,12.708
528,75911,14.196
529,77831,15.124
53,79125,13.303
530,73897,17.537
531,84289,12.234
532,81032,14.047
533,75934,14.739
534,77273,14.411
535,73147,15.972
536,76982,14.802
537,79430,14.53
538,83900,11.887
539,78694,14.282
54,76497,15.23
540,74947,15.515
541,79121,14.482
542,78502,14.266
543,80386,13.266
544,77301,14.143
545,76790,14.099
546,77433,14.729
547,77343,14.421
548,74528,15.647
549,78061,14.395
55,77521,14.328
550,77408,15.152
551,77482,13.588
552,76848,14.805
553,77029,15.377
554,78485,13.818
555,80359,13.459
556,79063,13.132
557,75682,14.609
558,74903,14.675
559,77262,12.949
56,79734,13.307
560,79921,13.631
561,78736,13.547
562,80020,13.011
563,78922,14.177
564,80568,13.931
565,77404,14.962
566,75266,16.24
567,76856,14.53
568,81931,12.058
569,81937,12.131
57,76416,15.725
570,76710,14.593
571,73444,17.003
572,73922,17.107
573,78178,13.381
574,85275,12.512
575,82631,12.954
576,80463,13.283
577,74216,14.206
578,83903,11.835
579,79003,12.655
58,75723,15.493
580,75808,15.458
581,79027,13.572
582,77150,15.064
583,72974,16.246
584,82099,13.417
585,78155,14.797
586,78389,14.123
587,76045,14.858
588,75730,15.411
589,82929,12.109
59,77500,15.174
590,82004,12.681
591,80987,13.801
592,78084,13.831
593,75708,16.12
594,80209,13.467
595,74859,15.884
596,77620,14.771
597,75910,16.077
598,77880,14.932
599,83729,12.425
6,74905,16.381
60,79178,12.974
600,74389,15.458
601,77292,13.9
602,79982,13.472
603,78731,14.171
604,86051,11.784
605,80172,13.433
606,73546,15.458
607,75886,15.537
608,75548,15.675
609,74168,16.395
61,77303,14.947
610,71287,17.467
611,80532,13.737
612,77079,14.406
613,79274,12.981
614,77716,13.929
615,84917,11.462
616,78466,13.752
617,79873,13.424
618,75658,15.974
619,81612,12.962
62,73786,16.311
620,82145,12.235
621,83001,11.782
622,81156,12.224
623,76165,14.495
624,73830,16.463
625,80436,14.156
626,78856,12.219
627,79859,13.106
628,77949,14.155
629,77461,14.26
63,77230,15.529
630,76965,14.389
631,74243,14.923
632,78320,14.115
633,78675,15.037
634,76752,14.333
635,83555,12.449
636,79648,13.583
637,86357,12.327
638,74890,16.117
639,73539,16.006
64,81650,12.075
640,79957,13.06
641,76859,15.893
642,77841,13.34
643,86017,12.274
644,78995,13.473
645,79469,13.117
646,87132,12.197
647,79406,13.47
648,80140,14.829
649,81139,13.009
65,79484,14.901
650,74669,16.378
651,75252,16.04
652,80110,13.339
653,81685,13.787
654,75692,16.376
655,83340,12.396
656,78806,14.597
657,90340,10.153
658,76267,14.354
659,83866,13.081
66,76672,15.856
660,80345,13.005
661,78877,13.592
662,75541,15.386
663,79518,12.017
664,78920,14.627
665,79674,13.87
666,77757,13.141
667,77561,14.224
668,74562,15.767
669,76784,14.824
67,73710,15.414
670,75620,14.992
671,78714,14.166
672,79389,13.175
673,75719,15.778
674,80045,12.692
675,79101,14.032
676,83541,12.988
677,78674,13.33
678,78878,15.298
679,79217,13.225
68,84545,12.407
680,74403,14.802
681,77800,15.118
682,78490,13.467
683,78258,13.944
684,76673,14.475
685,77140,14.426
686,74977,15.07
687,76962,14.189
688,70407,18.972
689,78696,14.454
69,78164,13.539
690,76536,14.359
691,76134,15.19
692,81034,13.081
693,79443,13.6
694,76193,16.142
695,73408,17.214
696,81164,13.919
697,74591,15.056
698,82676,12.082
699,73502,16.567
7,77462,15.084
70,83362,12.412
700,76684,13.476
701,73387,15.357
702,78032,14.373
703,76683,15.896
704,76783,14.677
705,75882,14.153
706,81825,12.242
707,75481,14.855
708,79674,13.641
709,73542,16.682
71,79456,14.383
710,77551,15.404
711,79622,12.572
712,85700,11.904
713,76996,13.89
714,78937,13.417
715,76007,15.902
716,76314,16.29
717,78741,13.022
718,75237,14.004
719,79999,13.004
72,84566,12.028
720,78385,13.248
721,74139,16.952
722,76039,15.526
723,74383,14.775
724,81565,12.913
725,79793,11.931
726,80060,13.455
727,77217,14.919
728,79001,13.632
729,76610,13.542
73,82018,12.641
730,82887,12.079
731,81067,14.652
732,77698,14.519
733,81678,14.444
734,77089,15.164
735,75676,15.023
736,77252,13.051
737,78642,13.937
738,76578,15.422
739,81327,10.997
74,75548,16.319
740,80451,14.024
741,73963,16.045
742,80026,12.687
743,75420,14.591
744,76836,14.709
745,81252,12.19
746,81155,12.645
747,76672,15.245
748,79866,14.041
749,75290,16.759
75,74783,14.418
750,80569,13.36
751,75415,15.285
752,78505,12.236
753,77929,13.419
754,78277,13.882
755,79517,13.578
756,79452,13.786
757,74326,15.986
758,76986,14.61
759,77316,15.64
76,77883,14.381
760,73984,17.009
761,79477,13.828
762,80260,13.092
763,78836,14.307
764,74671,16.254
765,79195,13.617
766,74725,16.345
767,81001,13.434
768,78434,14.349
769,82322,12.661
77,74497,15.391
770,78069,13.949
771,77396,13.692
772,80052,13.736
773,77460,14.565
774,78135,14.387
775,78909,13.944
776,79934,13.595
777,76412,14.576
778,77452,15.82
779,76265,13.939
78,72149,17.651
780,76432,14.274
781,75810,15.838
782,80919,13.863
783,75856,14.589
784,82955,12.811
785,77314,15.217
786,72860,16.412
787,77904,14.3
788,79369,13.106
789,74234,16.28
