Solution name,Objective,Similarity
1,79739,35
10,76061,47
100,77842,39
1000,76677,43
101,78651,38
102,75011,43
103,75566,48
104,78059,38
105,74000,44
106,75426,41
107,79388,37
108,72378,50
109,75482,35
11,74399,41
110,77369,39
111,78367,36
112,76118,39
113,76423,39
114,81794,36
115,78134,40
116,75182,45
117,75189,50
118,76258,44
119,76302,43
12,74941,47
120,83627,29
121,76704,42
122,78571,39
123,81266,34
124,76215,38
125,78984,33
126,81217,36
127,83746,27
128,82801,32
129,79784,36
13,79776,34
130,75251,42
131,81019,36
132,79831,36
133,76373,40
134,83456,30
135,78972,35
136,76973,36
137,79108,33
138,82749,31
139,81277,30
14,79589,33
140,78184,38
141,75549,42
142,72353,46
143,79781,34
144,73229,47
145,77741,39
146,77479,40
147,76390,49
148,79979,35
149,80022,38
15,76077,52
150,77571,44
151,78971,39
152,75813,40
153,79042,33
154,73391,45
155,74233,50
156,79830,38
157,78962,44
158,83097,32
159,76830,32
16,76065,38
160,78053,35
161,71070,42
162,81354,30
163,76659,36
164,79152,30
165,78575,39
166,77311,36
167,77972,40
168,78095,37
169,81402,31
17,77394,41
170,76848,42
171,79614,42
172,77283,35
173,77922,34
174,80799,41
175,80822,35
176,78889,38
177,73094,46
178,80592,37
179,81922,35
18,81439,34
180,76621,39
181,76353,43
182,72958,49
183,79565,41
184,75221,38
185,78335,35
186,78200,35
187,79037,45
188,74331,39
189,81776,26
19,79173,35
190,73197,45
191,72640,42
192,82037,29
193,75801,41
194,74777,53
195,74895,48
196,74965,45
197,78596,39
198,79898,33
199,78148,34
2,79293,34
20,75754,47
200,77240,40
201,76800,52
202,79673,27
203,77530,42
204,76230,39
205,77743,35
206,77841,44
207,77342,49
208,78234,30
209,82684,37
21,72668,46
210,76648,40
211,77769,35
212,71177,47
213,81806,34
214,75562,44
215,76612,39
216,75580,38
217,75440,41
218,83590,25
219,71203,51
22,80069,39
220,77487,39
221,79314,39
222,79311,30
223,75083,36
224,79912,37
225,81532,35
226,77812,39
227,83709,37
228,79748,34
229,75597,48
23,76339,42
230,75473,43
231,80706,33
232,80270,42
233,76794,44
234,80809,32
235,74387,39
236,76737,34
237,75565,47
238,81655,39
239,76469,48
24,76121,46
240,75181,39
241,77085,41
242,75572,41
243,76691,24
244,80163,32
245,74554,44
246,77693,40
247,82629,32
248,76983,41
249,77831,39
25,79675,34
250,81197,38
251,77232,39
252,76841,40
253,81676,34
254,78139,45
255,80075,33
256,78190,40
257,78404,33
258,81547,35
259,72166,53
26,74621,40
260,80220,30
261,75761,46
262,78532,33
263,77712,36
264,80781,37
265,81363,33
266,77262,38
267,77535,42
268,74251,47
269,75882,40
27,78391,36
270,75764,44
271,81989,30
272,85321,28
273,79960,40
274,79666,28
275,73255,34
276,77968,41
277,74559,38
278,72192,52
279,83564,32
28,77284,34
280,78941,36
281,78095,37
282,75656,38
283,76525,43
284,81241,44
285,77943,46
286,76900,35
287,73972,50
288,77211,34
289,76373,36
29,80915,41
290,80235,40
291,77045,39
292,80074,36
293,80072,26
294,77724,41
295,74610,44
296,77347,34
297,81758,34
298,79211,30
299,75750,39
3,76746,42
30,82632,28
300,74852,43
301,76728,37
302,73547,50
303,76605,36
304,77226,39
305,78942,39
306,77526,36
307,79226,43
308,81223,30
309,72903,46
31,83101,33
310,79672,35
311,79802,33
312,74410,41
313,78454,34
314,74863,41
315,74581,45
316,73471,45
317,74078,47
318,79229,39
319,79038,35
32,77488,34
320,85305,28
321,81009,29
322,84011,34
323,81802,31
324,79794,35
325,78665,40
326,76335,33
327,82662,39
328,75667,35
329,74833,42
33,81257,36
330,79909,31
331,81523,33
332,75994,46
333,79179,35
334,72906,42
335,83183,27
336,85723,28
337,80723,27
338,75921,36
339,81766,40
34,80679,41
340,90797,22
341,77308,31
342,75876,42
343,75786,43
344,82936,32
345,75571,40
346,79084,38
347,77918,39
348,74859,37
349,73476,59
35,72989,46
350,81594,36
351,78597,33
352,78128,40
353,86112,27
354,73460,38
355,74945,40
356,77047,38
357,76216,33
358,79690,31
359,75785,35
36,80004,38
360,78987,33
361,78941,32
362,77217,36
363,82289,32
364,77514,38
365,79035,34
366,75900,37
367,77966,36
368,79836,34
369,74365,50
37,81942,35
370,76125,37
371,82044,35
372,77150,40
373,80824,33
374,82436,35
375,80845,34
376,77356,32
377,82938,31
378,75953,43
379,78056,32
38,79855,32
380,79120,35
381,80316,35
382,78733,38
383,75779,43
384,78535,34
385,79887,35
386,73799,45
387,83926,27
388,71958,41
389,78554,38
39,79008,31
390,78166,35
391,77580,33
392,82037,31
393,77015,42
394,78977,37
395,76518,32
396,77651,46
397,78103,40
398,78418,37
399,75116,44
4,77233,39
40,81043,36
400,85224,38
401,78810,39
402,76895,41
403,81054,43
404,83883,36
405,75081,36
406,78022,34
407,78739,39
408,75729,40
409,80099,35
41,81543,45
410,73775,40
411,72963,45
412,79139,42
413,84332,31
414,78511,30
415,80336,36
416,72306,57
417,84220,29
418,81376,39
419,80797,34
42,78003,42
420,81226,37
421,78261,42
422,77957,35
423,75332,45
424,75719,42
425,75357,40
426,77584,35
427,75344,38
428,76087,46
429,76854,40
43,75806,51
430,79444,30
431,83749,23
432,78174,40
433,77035,37
434,74966,36
435,75690,39
436,79572,41
437,72109,44
438,82541,31
439,82218,32
44,80052,40
440,79483,33
441,83179,30
442,75350,36
443,76894,43
444,81695,30
445,82889,39
446,75489,42
447,82157,31
448,72866,44
449,83474,32
45,76591,38
450,75995,36
451,85130,29
452,77430,38
453,76234,43
454,75231,42
455,80323,37
456,81535,29
457,77561,37
458,79914,30
459,78712,31
46,81198,33
460,76474,40
461,81727,37
462,76985,45
463,79012,42
464,76175,45
465,81337,29
466,78928,40
467,73847,44
468,81576,32
469,76923,33
47,77464,43
470,80026,41
471,71778,53
472,79733,40
473,73985,44
474,78238,35
475,77753,38
476,76772,46
477,76756,37
478,75978,42
479,77035,33
48,74247,42
480,78157,32
481,82465,31
482,88022,34
483,79692,35
484,82488,29
485,79666,33
486,76906,47
487,76053,37
488,75338,40
489,81746,31
49,77676,34
490,76723,43
491,80989,40
492,80261,31
493,78464,33
494,77435,41
495,78490,44
496,75873,35
497,76671,37
498,84825,32
499,83531,28
5,79922,31
50,77460,42
500,77179,47
501,83133,37
502,77734,38
503,76206,43
504,79185,35
505,77858,37
506,79031,35
507,78627,38
508,77138,31
509,74943,44
51,79248,37
510,74285,40
511,78171,39
512,76653,42
513,78046,32
514,79056,31
515,79045,37
516,78138,30
517,86105,24
518,74567,41
519,78038,34
52,77507,28
520,75536,51
521,78003,41
522,79953,38
523,86930,28
524,72633,50
525,84447,34
526,82491,37
527,81330,31
528,75911,38
529,77831,41
53,79125,34
530,73897,51
531,84289,34
532,81032,34
533,75934,36
534,77273,34
535,73147,44
536,76982,39
537,79430,38
538,83900,33
539,78694,43
54,76497,45
540,74947,44
541,79121,41
542,78502,40
543,80386,30
544,77301,44
545,76790,36
546,77433,38
547,77343,41
548,74528,40
549,78061,39
55,77521,31
550,77408,40
551,77482,43
552,76848,44
553,77029,36
554,78485,36
555,80359,35
556,79063,29
557,75682,42
558,74903,38
559,77262,29
56,79734,32
560,79921,41
561,78736,35
562,80020,38
563,78922,40
564,80568,36
565,77404,41
566,75266,37
567,76856,42
568,81931,34
569,81937,30
57,76416,43
570,76710,40
571,73444,46
572,73922,48
573,78178,34
574,85275,34
575,82631,30
576,80463,38
577,74216,41
578,83903,33
579,79003,30
58,75723,40
580,75808,40
581,79027,40
582,77150,40
583,72974,43
584,82099,37
585,78155,41
586,78389,36
587,76045,33
588,75730,41
589,82929,27
59,77500,45
590,82004,39
591,80987,35
592,78084,36
593,75708,41
594,80209,29
595,74859,42
596,77620,44
597,75910,45
598,77880,45
599,83729,29
6,74905,46
60,79178,29
600,74389,43
601,77292,31
602,79982,39
603,78731,32
604,86051,31
605,80172,37
606,73546,41
607,75886,41
608,75548,47
609,74168,50
61,77303,40
610,71287,46
611,80532,37
612,77079,42
613,79274,32
614,77716,41
615,84917,31
616,78466,45
617,79873,39
618,75658,47
619,81612,33
62,73786,46
620,82145,26
621,83001,29
622,81156,34
623,76165,38
624,73830,48
625,80436,41
626,78856,27
627,79859,35
628,77949,33
629,77461,39
63,77230,38
630,76965,38
631,74243,38
632,78320,37
633,78675,40
634,76752,39
635,83555,31
636,79648,34
637,86357,33
638,74890,40
639,73539,42
64,81650,26
640,79957,33
641,76859,42
642,77841,31
643,86017,29
644,78995,34
645,79469,38
646,87132,31
647,79406,36
648,80140,43
649,81139,32
65,79484,43
650,74669,47
651,75252,42
652,80110,37
653,81685,37
654,75692,38
655,83340,27
656,78806,43
657,90340,20
658,76267,43
659,83866,36
66,76672,47
660,80345,34
661,78877,34
662,75541,40
663,79518,29
664,78920,38
665,79674,35
666,77757,39
667,77561,35
668,74562,42
669,76784,38
67,73710,38
670,75620,39
671,78714,35
672,79389,28
673,75719,44
674,80045,31
675,79101,34
676,83541,37
677,78674,34
678,78878,39
679,79217,29
68,84545,32
680,74403,33
681,77800,40
682,78490,39
683,78258,38
684,76673,42
685,77140,43
686,74977,46
687,76962,33
688,70407,100
689,78696,40
69,78164,33
690,76536,34
691,76134,39
692,81034,37
693,79443,37
694,76193,44
695,73408,47
696,81164,40
697,74591,36
698,82676,29
699,73502,42
7,77462,40
70,83362,31
700,76684,37
701,73387,43
702,78032,38
703,76683,45
704,76783,34
705,75882,38
706,81825,30
707,75481,34
708,79674,39
709,73542,45
71,79456,39
710,77551,40
711,79622,33
712,85700,28
713,76996,36
714,78937,33
715,76007,43
716,76314,46
717,78741,27
718,75237,37
719,79999,36
72,84566,38
720,78385,35
721,74139,54
722,76039,36
723,74383,43
724,81565,38
725,79793,29
726,80060,29
727,77217,38
728,79001,33
729,76610,38
73,82018,30
730,82887,31
731,81067,40
732,77698,36
733,81678,40
734,77089,39
735,75676,37
736,77252,37
737,78642,36
738,76578,45
739,81327,23
74,75548,45
740,80451,38
741,73963,51
742,80026,32
743,75420,36
744,76836,35
745,81252,30
746,81155,36
747,76672,42
748,79866,36
749,75290,43
75,74783,42
750,80569,32
751,75415,43
752,78505,28
753,77929,39
754,78277,33
755,79517,33
756,79452,33
757,74326,40
758,76986,38
759,77316,40
76,77883,39
760,73984,47
761,79477,34
762,80260,37
763,78836,37
764,74671,45
765,79195,33
766,74725,42
767,81001,39
768,78434,30
769,82322,27
77,74497,39
770,78069,41
771,77396,42
772,80052,38
773,77460,34
774,78135,38
775,78909,36
776,79934,33
777,76412,38
778,77452,46
779,76265,37
78,72149,48
780,76432,34
781,75810,41
782,80919,40
783,75856,36
784,82955,33
785,77314,40
786,72860,48
787,77904,47
788,79369,33
789,74234,41
79,80786,30
790,82596,35
791,77964,38
792,81568,34
793,75097,47
794,74622,42
795,78672,35
796,76232,41
797,77577,26
798,77551,40
799,78947,31
8,80070,31
80,79427,33
800,74751,46
801,82449,26
802,75798,40
803,76040,39
804,77331,44
805,84235,35
806,82451,26
807,74919,37
808,75896,36
809,79575,39
81,86676,27
810,79569,33
811,78325,38
812,81425,32
813,76987,38
814,78174,38
815,78607,43
816,74018,40
817,78080,32
818,75903,36
819,77678,46
82,74302,48
820,79347,32
821,75987,35
822,74280,52
823,76106,41
824,73201,51
825,81938,31
826,81946,22
827,79227,31
828,78919,34
829,79540,34
83,78148,31
830,73037,44
831,78402,42
832,79895,35
833,79960,34
834,78647,33
835,82260,32
836,73926,46
837,75615,40
838,79201,31
839,79959,38
84,84519,32
840,80132,35
841,75796,35
842,81459,31
843,74056,41
844,77250,39
845,77298,39
846,76854,39
847,78652,34
848,77264,41
849,77915,36
85,73007,47
850,77314,41
851,82368,33
852,73859,39
853,78139,41
854,79188,42
855,74079,40
856,75610,36
857,74583,43
858,83062,32
859,78918,26
86,74223,43
860,75335,43
861,79893,39
862,79040,38
863,78891,37
864,81359,33
865,75659,35
866,86968,24
867,77856,34
868,82168,38
869,78993,32
87,77893,37
870,75106,48
871,75079,34
872,77674,44
873,74995,39
874,77732,43
875,74365,42
876,71993,53
877,78105,37
878,76233,36
879,76506,45
88,74963,38
880,73388,43
881,80955,37
882,72454,49
883,74294,44
884,82070,28
885,76955,31
886,82602,29
887,77496,36
888,78649,39
889,81565,37
89,78621,36
890,79387,39
891,71508,46
892,78690,30
893,78747,37
894,79350,36
895,80396,32
896,81072,34
897,79283,39
898,77643,39
899,78425,35
9,77007,34
90,77914,30
900,72873,46
901,73599,41
902,77377,43
903,76937,36
904,80165,38
905,74692,42
906,82079,37
907,80606,34
908,74207,39
909,82220,31
91,76117,39
910,83763,29
911,72867,48
912,81250,33
913,74525,42
914,77754,42
915,76297,40
916,75816,36
917,80078,33
918,79195,44
919,77573,39
92,80481,35
920,78741,32
921,75621,43
922,76688,44
923,77735,42
924,78186,37
925,77659,37
926,80488,40
927,81581,31
928,77332,39
929,76171,42
93,83915,34
930,73151,43
931,82906,25
932,78552,41
933,79020,35
934,77831,33
935,80741,30
936,76367,35
937,77590,37
938,78923,35
939,75807,42
94,71858,52
940,81321,28
941,76686,32
942,75666,39
943,78197,39
944,82264,33
945,78241,47
946,76155,46
947,75153,42
948,77445,39
949,82455,31
95,79647,35
950,76974,42
951,75539,44
952,75803,39
953,80005,39
954,81470,34
955,82352,28
956,83560,35
957,78813,34
958,78318,40
959,73903,42
96,79033,37
960,78745,36
961,79386,38
962,73840,40
963,76505,40
964,79297,37
965,75872,35
966,84052,34
967,77374,46
968,77124,38
969,83119,31
97,74430,38
970,76586,46
971,78404,44
972,77079,39
973,77919,39
974,81737,32
975,75969,40
976,74760,39
977,73746,36
978,77706,38
979,74042,46
98,78108,38
980,81819,32
981,78501,36
982,77075,41
983,82315,35
984,81586,35
985,77134,39
986,82611,27
987,76744,35
988,78001,30
989,78191,40
99,77997,41
990,76986,37
991,76139,39
992,75250,44
993,78846,38
994,77671,32
995,76500,50
996,79109,33
997,83196,35
998,83254,28
999,79306,36
