Solution name,Objective,Similarity
1,79739,88.686
10,76061,88.108
100,77842,89.858
1000,76677,89.554
101,78651,87.548
102,75011,89.112
103,75566,89.806
104,78059,89.173
105,74000,88.288
106,75426,87.957
107,79388,89.034
108,72378,88.293
109,75482,86.173
11,74399,89.13
110,77369,89.105
111,78367,89.875
112,76118,88.684
113,76423,89.96
114,81794,88.024
115,78134,87.643
116,75182,89.621
117,75189,90.663
118,76258,89.426
119,76302,88.133
12,74941,88.54
120,83627,88.948
121,76704,88.854
122,78571,88.528
123,81266,88.98
124,76215,90.219
125,78984,87.5
126,81217,89.576
127,83746,89.865
128,82801,88.708
129,79784,88.533
13,79776,88.682
130,75251,87.942
131,81019,87.154
132,79831,89.544
133,76373,86.835
134,83456,87.766
135,78972,89.655
136,76973,90.411
137,79108,88.766
138,82749,88.666
139,81277,89.941
14,79589,89.275
140,78184,89.267
141,75549,89.067
142,72353,89.337
143,79781,89.001
144,73229,86.324
145,77741,89.147
146,77479,90.155
147,76390,90.227
148,79979,88.15
149,80022,89.596
15,76077,86.836
150,77571,90.023
151,78971,88.909
152,75813,88.466
153,79042,87.192
154,73391,87.663
155,74233,88.221
156,79830,88.03
157,78962,87.181
158,83097,89.878
159,76830,88.973
16,76065,88.893
160,78053,88.066
161,71070,88.611
162,81354,87.794
163,76659,89.512
164,79152,89.278
165,78575,87.695
166,77311,90.15
167,77972,88.164
168,78095,88.744
169,81402,89.054
17,77394,87.219
170,76848,87.173
171,79614,86.497
172,77283,89.046
173,77922,88.398
174,80799,90.015
175,80822,88.578
176,78889,88.994
177,73094,88.709
178,80592,90.082
179,81922,89.315
18,81439,89.26
180,76621,89.983
181,76353,88.494
182,72958,89.622
183,79565,89.739
184,75221,88.076
185,78335,87.928
186,78200,89.266
187,79037,88.745
188,74331,89.851
189,81776,89.434
19,79173,88.133
190,73197,88.387
191,72640,89.593
192,82037,89.32
193,75801,88.664
194,74777,88.468
195,74895,87.842
196,74965,88.717
197,78596,89.659
198,79898,89.196
199,78148,87.85
2,79293,89.445
20,75754,89.407
200,77240,88.264
201,76800,88.906
202,79673,88.918
203,77530,90.702
204,76230,89.302
205,77743,89.864
206,77841,89.194
207,77342,88.679
208,78234,86.799
209,82684,89.037
21,72668,87.123
210,76648,87.623
211,77769,89.125
212,71177,89.094
213,81806,88.558
214,75562,90.446
215,76612,87.658
216,75580,89.816
217,75440,88.522
218,83590,87.665
219,71203,89.641
22,80069,89.427
220,77487,88.12
221,79314,87.789
222,79311,87.581
223,75083,87.645
224,79912,87.803
225,81532,88.731
226,77812,87.461
227,83709,87.179
228,79748,90.01
229,75597,89.523
23,76339,89.393
230,75473,89.059
231,80706,89.102
232,80270,88.536
233,76794,88.912
234,80809,87.988
235,74387,89.468
236,76737,88.704
237,75565,88.506
238,81655,87.397
239,76469,87.036
24,76121,89.895
240,75181,89.761
241,77085,88.691
242,75572,89.794
243,76691,88.083
244,80163,87.879
245,74554,88.343
246,77693,88.617
247,82629,88.182
248,76983,87.929
249,77831,86.521
25,79675,88.873
250,81197,89.799
251,77232,89.519
252,76841,90.367
253,81676,88.455
254,78139,88.6
255,80075,89.509
256,78190,89.313
257,78404,89.2
258,81547,89.495
259,72166,88.898
26,74621,88.413
260,80220,87.637
261,75761,88.389
262,78532,88.689
263,77712,88.272
264,80781,88.449
265,81363,90.642
266,77262,86.976
267,77535,88.037
268,74251,88.935
269,75882,88.778
27,78391,87.443
270,75764,90.329
271,81989,88.516
272,85321,89.02
273,79960,87.847
274,79666,87.854
275,73255,89.153
276,77968,87.789
277,74559,88.813
278,72192,90.699
279,83564,88.953
28,77284,89.084
280,78941,89.258
281,78095,87.275
282,75656,88.186
283,76525,88.437
284,81241,89.16
285,77943,88.841
286,76900,88.964
287,73972,89.575
288,77211,88.254
289,76373,86.13
29,80915,88.553
290,80235,89.105
291,77045,86.908
292,80074,88.326
293,80072,87.844
294,77724,88.075
295,74610,89.837
296,77347,88.952
297,81758,88.076
298,79211,89.214
299,75750,88.656
3,76746,88.227
30,82632,85.957
300,74852,87.895
301,76728,88.055
302,73547,88.13
303,76605,89.241
304,77226,87.548
305,78942,86.997
306,77526,88.07
307,79226,87.205
308,81223,87.804
309,72903,86.287
31,83101,88.342
310,79672,88.304
311,79802,88.633
312,74410,88.246
313,78454,88.142
314,74863,89.909
315,74581,88.548
316,73471,89.626
317,74078,89.585
318,79229,89.108
319,79038,88.306
32,77488,88.497
320,85305,87.31
321,81009,90.504
322,84011,83.376
323,81802,88.577
324,79794,88.104
325,78665,89.987
326,76335,89.059
327,82662,87.026
328,75667,88.383
329,74833,89.718
33,81257,89.002
330,79909,88.875
331,81523,89.005
332,75994,87.756
333,79179,89.647
334,72906,87.972
335,83183,87.539
336,85723,88.156
337,80723,88.431
338,75921,87.501
339,81766,88.714
34,80679,88.338
340,90797,87.017
341,77308,89.373
342,75876,89.047
343,75786,87.695
344,82936,84.384
345,75571,88.339
346,79084,87.362
347,77918,87.569
348,74859,87.423
349,73476,89.416
35,72989,88.344
350,81594,87.607
351,78597,89.374
352,78128,88.4
353,86112,88.838
354,73460,87.771
355,74945,88.395
356,77047,89.101
357,76216,88.791
358,79690,88.64
359,75785,88.886
36,80004,87.948
360,78987,86.607
361,78941,85.707
362,77217,87.994
363,82289,88.673
364,77514,87.944
365,79035,88.49
366,75900,88.996
367,77966,88.587
368,79836,86.865
369,74365,89.268
37,81942,89.673
370,76125,88.761
371,82044,88.244
372,77150,87.35
373,80824,87.673
374,82436,89.539
375,80845,89.08
376,77356,88.601
377,82938,86.759
378,75953,86.859
379,78056,88.109
38,79855,89.094
380,79120,86.871
381,80316,88.511
382,78733,89.68
383,75779,88.411
384,78535,89.79
385,79887,89.673
386,73799,86.527
387,83926,86.661
388,71958,87.139
389,78554,91.19
39,79008,88.279
390,78166,88.434
391,77580,88.046
392,82037,87.455
393,77015,89.357
394,78977,89.855
395,76518,86.155
396,77651,89.138
397,78103,88.383
398,78418,89.65
399,75116,89.377
4,77233,88.14
40,81043,88.517
400,85224,88.276
401,78810,88.723
402,76895,88.5
403,81054,88.454
404,83883,88.771
405,75081,88.27
406,78022,85.304
407,78739,87.43
408,75729,89.663
409,80099,89.342
41,81543,89.925
410,73775,87.695
411,72963,86.978
412,79139,87.572
413,84332,87.863
414,78511,88.522
415,80336,88.492
416,72306,88.582
417,84220,88.766
418,81376,88.653
419,80797,88.544
42,78003,87.822
420,81226,89.031
421,78261,89.415
422,77957,87.399
423,75332,88.452
424,75719,88.347
425,75357,88.197
426,77584,88.956
427,75344,89.539
428,76087,90.179
429,76854,89.146
43,75806,88.694
430,79444,89.814
431,83749,88.712
432,78174,88.03
433,77035,89.329
434,74966,89.764
435,75690,89.35
436,79572,87.365
437,72109,89.172
438,82541,89.375
439,82218,88.265
44,80052,89.692
440,79483,87.768
441,83179,86.826
442,75350,89.382
443,76894,89.121
444,81695,88.569
445,82889,88.8
446,75489,88.496
447,82157,88.236
448,72866,86.763
449,83474,88.068
45,76591,89.17
450,75995,87.933
451,85130,88.294
452,77430,88.667
453,76234,89.149
454,75231,89.204
455,80323,87.328
456,81535,88.41
457,77561,88.834
458,79914,88.226
459,78712,87.536
46,81198,89.449
460,76474,89.308
461,81727,89.224
462,76985,89.67
463,79012,88.543
464,76175,89.365
465,81337,87.756
466,78928,89.371
467,73847,88.865
468,81576,87.527
469,76923,88.324
47,77464,89.909
470,80026,90.664
471,71778,90.538
472,79733,89.147
473,73985,89.53
474,78238,88.814
475,77753,87.359
476,76772,88.09
477,76756,89.087
478,75978,89.763
479,77035,89.065
48,74247,88.993
480,78157,88.487
481,82465,89.52
482,88022,86.971
483,79692,88.47
484,82488,87.512
485,79666,87.634
486,76906,88.814
487,76053,88.4
488,75338,88.546
489,81746,87.82
49,77676,89.333
490,76723,89.196
491,80989,90.191
492,80261,86.52
493,78464,87.721
494,77435,88.22
495,78490,88.106
496,75873,89.284
497,76671,87.624
498,84825,88.241
499,83531,89.082
5,79922,88.3
50,77460,88.237
500,77179,90.043
501,83133,88.353
502,77734,88.169
503,76206,88.112
504,79185,88.324
505,77858,87.916
506,79031,88.11
507,78627,88.437
508,77138,88.538
509,74943,88.482
51,79248,88.799
510,74285,89.021
511,78171,88.106
512,76653,89.146
513,78046,88.65
514,79056,87.911
515,79045,88.975
516,78138,89.501
517,86105,88.379
518,74567,88.52
519,78038,89.867
