Solution name,Objective,Similarity
1,79739,92
10,76061,91
100,77842,90
1000,76677,91
101,78651,88
102,75011,90
103,75566,91
104,78059,89
105,74000,90
106,75426,90
107,79388,89
108,72378,90
109,75482,86
11,74399,89
110,77369,90
111,78367,91
112,76118,89
113,76423,91
114,81794,89
115,78134,89
116,75182,92
117,75189,95
118,76258,92
119,76302,91
12,74941,92
120,83627,90
121,76704,90
122,78571,91
123,81266,91
124,76215,91
125,78984,90
126,81217,89
127,83746,89
128,82801,89
129,79784,93
13,79776,91
130,75251,90
131,81019,89
132,79831,92
133,76373,89
134,83456,89
135,78972,91
136,76973,93
137,79108,91
138,82749,90
139,81277,93
14,79589,91
140,78184,89
141,75549,91
142,72353,92
143,79781,89
144,73229,87
145,77741,88
146,77479,92
147,76390,92
148,79979,90
149,80022,92
15,76077,90
150,77571,93
151,78971,92
152,75813,91
153,79042,88
154,73391,91
155,74233,90
156,79830,91
157,78962,90
158,83097,90
159,76830,91
16,76065,91
160,78053,88
161,71070,91
162,81354,91
163,76659,92
164,79152,90
165,78575,91
166,77311,92
167,77972,92
168,78095,91
169,81402,91
17,77394,87
170,76848,89
171,79614,90
172,77283,89
173,77922,88
174,80799,93
175,80822,90
176,78889,92
177,73094,89
178,80592,90
179,81922,91
18,81439,91
180,76621,91
181,76353,90
182,72958,92
183,79565,92
184,75221,89
185,78335,88
186,78200,90
187,79037,92
188,74331,92
189,81776,90
19,79173,91
190,73197,90
191,72640,91
192,82037,92
193,75801,90
194,74777,90
195,74895,92
196,74965,92
197,78596,91
198,79898,90
199,78148,88
2,79293,92
20,75754,92
200,77240,90
201,76800,92
202,79673,88
203,77530,92
204,76230,92
205,77743,91
206,77841,93
207,77342,91
208,78234,87
209,82684,91
21,72668,87
210,76648,89
211,77769,90
212,71177,91
213,81806,91
214,75562,92
215,76612,88
216,75580,92
217,75440,89
218,83590,88
219,71203,91
22,80069,92
220,77487,92
221,79314,90
222,79311,87
223,75083,88
224,79912,89
225,81532,91
226,77812,86
227,83709,87
228,79748,93
229,75597,93
23,76339,89
230,75473,92
231,80706,91
232,80270,90
233,76794,91
234,80809,86
235,74387,90
236,76737,90
237,75565,92
238,81655,89
239,76469,86
24,76121,92
240,75181,91
241,77085,90
242,75572,90
243,76691,86
244,80163,86
245,74554,92
246,77693,90
247,82629,89
248,76983,87
249,77831,88
25,79675,90
250,81197,93
251,77232,92
252,76841,94
253,81676,88
254,78139,90
255,80075,91
256,78190,92
257,78404,90
258,81547,90
259,72166,92
26,74621,89
260,80220,87
261,75761,91
262,78532,91
263,77712,89
264,80781,87
265,81363,91
266,77262,88
267,77535,90
268,74251,93
269,75882,92
27,78391,88
270,75764,93
271,81989,90
272,85321,89
273,79960,91
274,79666,88
275,73255,89
276,77968,89
277,74559,89
278,72192,92
279,83564,92
28,77284,90
280,78941,87
281,78095,89
282,75656,90
283,76525,91
284,81241,93
285,77943,91
286,76900,91
287,73972,92
288,77211,88
289,76373,86
29,80915,92
290,80235,93
291,77045,87
292,80074,90
293,80072,89
294,77724,92
295,74610,93
296,77347,90
297,81758,90
298,79211,90
299,75750,89
3,76746,90
30,82632,87
300,74852,89
301,76728,90
302,73547,90
303,76605,90
304,77226,91
305,78942,87
306,77526,87
307,79226,89
308,81223,89
309,72903,87
31,83101,89
310,79672,89
311,79802,88
312,74410,90
313,78454,89
314,74863,90
315,74581,91
316,73471,92
317,74078,92
318,79229,90
319,79038,89
32,77488,89
320,85305,89
321,81009,92
322,84011,85
323,81802,91
324,79794,90
325,78665,93
326,76335,91
327,82662,88
328,75667,91
329,74833,92
33,81257,92
330,79909,91
331,81523,91
332,75994,89
333,79179,91
334,72906,87
335,83183,88
336,85723,91
337,80723,88
338,75921,88
339,81766,94
34,80679,89
340,90797,89
341,77308,91
342,75876,91
343,75786,89
344,82936,87
345,75571,90
346,79084,89
347,77918,89
348,74859,88
349,73476,90
35,72989,90
350,81594,89
351,78597,90
352,78128,91
353,86112,91
354,73460,88
355,74945,89
356,77047,90
357,76216,90
358,79690,90
359,75785,92
36,80004,90
360,78987,88
361,78941,86
362,77217,89
363,82289,89
364,77514,91
365,79035,90
366,75900,88
367,77966,90
368,79836,87
369,74365,93
37,81942,92
370,76125,89
371,82044,90
372,77150,86
373,80824,87
374,82436,91
375,80845,89
376,77356,89
377,82938,88
378,75953,87
379,78056,88
38,79855,90
380,79120,89
381,80316,90
382,78733,93
383,75779,91
384,78535,91
385,79887,91
386,73799,88
387,83926,90
388,71958,86
389,78554,94
39,79008,88
390,78166,88
391,77580,90
392,82037,87
393,77015,92
394,78977,94
395,76518,87
396,77651,90
397,78103,91
398,78418,93
399,75116,91
4,77233,89
40,81043,91
400,85224,92
401,78810,90
402,76895,91
403,81054,89
404,83883,92
405,75081,89
406,78022,87
407,78739,90
408,75729,91
409,80099,91
41,81543,91
410,73775,88
411,72963,88
412,79139,86
413,84332,89
414,78511,89
415,80336,90
416,72306,93
417,84220,90
418,81376,92
419,80797,90
42,78003,89
420,81226,90
421,78261,92
422,77957,90
423,75332,94
424,75719,90
425,75357,87
426,77584,89
427,75344,90
428,76087,94
429,76854,88
43,75806,90
430,79444,93
431,83749,89
432,78174,90
433,77035,93
434,74966,90
435,75690,90
436,79572,90
437,72109,90
438,82541,90
439,82218,90
44,80052,93
440,79483,88
441,83179,88
442,75350,90
443,76894,90
444,81695,90
445,82889,92
446,75489,89
447,82157,91
448,72866,88
449,83474,91
45,76591,88
450,75995,88
451,85130,88
452,77430,91
453,76234,91
454,75231,91
455,80323,88
456,81535,88
457,77561,92
458,79914,90
459,78712,86
46,81198,92
460,76474,91
461,81727,91
462,76985,92
463,79012,91
464,76175,92
465,81337,87
466,78928,93
467,73847,90
468,81576,88
469,76923,88
47,77464,94
470,80026,92
471,71778,94
472,79733,92
473,73985,91
474,78238,93
475,77753,89
476,76772,91
477,76756,89
478,75978,91
479,77035,91
48,74247,92
480,78157,89
481,82465,91
482,88022,89
483,79692,89
484,82488,89
485,79666,90
486,76906,92
487,76053,90
488,75338,89
489,81746,88
49,77676,91
490,76723,91
491,80989,92
492,80261,89
493,78464,90
494,77435,89
495,78490,90
496,75873,90
497,76671,87
498,84825,91
499,83531,90
5,79922,88
50,77460,91
500,77179,94
501,83133,90
502,77734,87
503,76206,88
504,79185,89
505,77858,87
506,79031,90
507,78627,91
508,77138,90
509,74943,90
51,79248,91
510,74285,90
511,78171,90
512,76653,91
513,78046,89
514,79056,89
515,79045,91
516,78138,90
517,86105,89
518,74567,89
519,78038,91
52,77507,89
520,75536,91
521,78003,90
522,79953,89
523,86930,90
524,72633,90
525,84447,91
526,82491,91
527,81330,89
528,75911,89
529,77831,89
53,79125,89
530,73897,90
531,84289,91
532,81032,86
533,75934,89
534,77273,90
535,73147,91
536,76982,90
537,79430,91
538,83900,91
539,78694,94
54,76497,90
540,74947,91
541,79121,92
542,78502,90
543,80386,88
544,77301,92
545,76790,87
546,77433,90
547,77343,88
548,74528,92
549,78061,86
55,77521,88
550,77408,92
551,77482,90
552,76848,89
553,77029,93
554,78485,93
555,80359,88
556,79063,91
557,75682,90
558,74903,93
559,77262,89
56,79734,88
560,79921,90
561,78736,89
562,80020,94
563,78922,91
564,80568,92
565,77404,89
566,75266,91
567,76856,92
568,81931,89
569,81937,91
57,76416,90
570,76710,88
571,73444,89
572,73922,93
573,78178,90
574,85275,89
575,82631,92
576,80463,93
577,74216,92
578,83903,91
579,79003,86
58,75723,90
580,75808,89
581,79027,90
582,77150,89
583,72974,87
584,82099,91
585,78155,91
586,78389,86
587,76045,89
588,75730,89
589,82929,89
59,77500,91
590,82004,88
591,80987,88
592,78084,88
593,75708,92
594,80209,87
595,74859,90
596,77620,89
597,75910,91
598,77880,92
599,83729,91
6,74905,92
60,79178,89
600,74389,91
601,77292,88
602,79982,90
603,78731,90
604,86051,92
605,80172,90
606,73546,88
607,75886,89
608,75548,91
609,74168,91
61,77303,91
610,71287,93
611,80532,90
612,77079,90
613,79274,91
614,77716,90
615,84917,90
616,78466,91
617,79873,89
618,75658,90
619,81612,89
62,73786,90
620,82145,88
621,83001,86
622,81156,87
623,76165,91
624,73830,92
625,80436,89
626,78856,88
627,79859,92
628,77949,91
629,77461,93
63,77230,90
630,76965,87
631,74243,90
632,78320,89
633,78675,93
634,76752,92
635,83555,91
636,79648,88
637,86357,92
638,74890,90
639,73539,89
64,81650,90
640,79957,92
641,76859,90
642,77841,89
643,86017,91
644,78995,87
645,79469,88
646,87132,92
647,79406,91
648,80140,91
649,81139,92
65,79484,89
650,74669,91
651,75252,93
652,80110,91
653,81685,92
654,75692,89
655,83340,88
656,78806,89
657,90340,92
658,76267,89
