Solution name,Objective,Similarity
1,54485,32.671
10,52923,32.926
100,54223,30.497
1000,54872,31.498
101,53959,34.013
102,53906,32.262
103,50146,38.05
104,56256,28.04
105,54453,32.512
106,54292,30.86
107,54562,31.191
108,54709,31.381
109,51693,37.298
11,52741,33.1
110,50806,38.28
111,53944,33.019
112,54230,30.286
113,52878,34.06
114,55027,28.803
115,53483,34.812
116,53378,31.548
117,51553,36.009
118,54254,31.736
119,55031,30.748
12,55416,33.105
120,52414,33.069
121,52398,37.209
122,52142,33.203
123,53281,32.176
124,55303,31.713
125,51972,35.678
126,55673,31.59
127,54383,32.371
128,54251,32.212
129,52896,33.741
13,54024,32.632
130,52257,36.312
131,56831,28.557
132,54714,32.801
133,52251,34.677
134,52414,36.12
135,53416,34.728
136,54072,31.439
137,52662,33.747
138,51249,36.106
139,53494,32.356
14,54337,32.742
140,51672,33.068
141,57946,27.673
142,52162,34.96
143,54348,30.157
144,53049,34.691
145,51531,34.062
146,52789,35.441
147,56676,28.849
148,53111,31.9
149,54270,36.214
15,54274,33.829
150,54572,30.825
151,55396,29.275
152,51948,35.136
153,52925,36.709
154,58220,27.35
155,53467,32.232
156,52260,34.07
157,52965,34.131
158,58983,27.012
159,52492,33.912
16,53777,32.281
160,53655,34.544
161,53028,33.467
162,51301,36.998
163,53406,33.304
164,53831,32.591
165,50705,37.934
166,55398,31.093
167,54664,32.113
168,52092,36.168
169,54692,30.305
17,52151,34.343
170,51696,36.513
171,51926,32.713
172,52186,35.256
173,54451,30.79
174,51451,35.343
175,57872,28.881
176,58653,27.113
177,54317,31.781
178,52061,35.326
179,52668,36.139
18,52193,34.724
180,53352,33.481
181,51159,36.842
182,55452,34.019
183,52091,35.477
184,52035,35.614
185,58484,26.544
186,51245,34.796
187,53733,31.481
188,51684,35.593
189,53633,31.881
19,51853,35.852
190,53490,34.779
191,51177,34.269
192,56198,32.354
193,54866,31.297
194,53340,33.913
195,52420,36.451
196,57341,31.732
197,51099,34.419
198,54727,32.437
199,52368,35.139
2,58834,27.895
20,51830,34.613
200,53652,33.583
201,52680,35.489
202,53233,35.572
203,52920,33.291
204,58460,26.997
205,52093,35.135
206,53925,30.69
207,53033,34.331
208,57553,30.287
209,52240,33.26
21,55070,29.762
210,52842,31.943
211,53645,33.015
212,56163,31.197
213,52161,34.866
214,56372,29.248
215,52410,33.375
216,52761,32.981
217,55675,30.828
218,53990,34.336
219,51969,33.343
22,57118,27.681
220,52985,33.814
221,54529,33.037
222,52250,34.565
223,52361,33.8
224,53556,32.401
225,54368,32.074
226,51894,33.268
227,53496,32.536
228,52500,32.979
229,52575,36.207
23,54728,31.529
230,52981,32.518
231,52975,32.936
232,51600,34.937
233,53450,30.807
234,52419,33.987
235,53928,32.068
236,55811,29.077
237,51789,35.943
238,55363,32.926
239,59173,27.708
24,55828,30.653
240,52104,33.596
241,54601,31.452
242,54339,29.043
243,53183,34.085
244,53599,32.654
245,54743,29.115
246,55029,30.834
247,55801,29.867
248,58251,26.364
249,53625,31.125
25,52026,35.606
250,53580,31.868
251,52788,34.51
252,54847,31.783
253,55510,29.568
254,53297,34.685
255,55536,29.733
256,53304,31.674
257,55873,29.849
258,54327,31.959
259,53334,32.734
26,54407,31.069
260,53935,32.882
261,55698,29.72
262,53449,30.77
263,51919,34.868
264,52579,33.776
265,54630,29.818
266,52188,38.27
267,52013,35.526
268,52387,35.457
269,51305,36.125
27,52074,34.76
270,57084,32.804
271,56338,30.975
272,51067,37.03
273,51332,34.492
274,53938,32.945
275,56227,31.013
276,55234,28.586
277,53656,32.932
278,50387,38.859
279,58381,27.597
28,52172,33.927
280,52649,33.541
281,53976,33.515
282,53265,30.9
283,55296,31.019
284,52284,33.825
285,52080,35.225
286,52610,35.349
287,53612,32.188
288,54116,31.056
289,53289,34.305
29,52126,34.647
290,53817,31.11
291,55362,33.792
292,51866,36.68
293,54717,32.227
294,53400,34.306
295,57807,27.711
296,54717,31.11
297,50363,36.8
298,51919,34.287
299,52116,37.408
