Solution name,Objective,Similarity
1,54485,35
10,52923,39
100,54223,28
1000,54872,41
101,53959,43
102,53906,36
103,50146,38
104,56256,32
105,54453,40
106,54292,34
107,54562,28
108,54709,39
109,51693,49
11,52741,38
110,50806,43
111,53944,39
112,54230,33
113,52878,35
114,55027,32
115,53483,41
116,53378,34
117,51553,41
118,54254,39
119,55031,36
12,55416,36
120,52414,41
121,52398,44
122,52142,46
123,53281,36
124,55303,33
125,51972,42
126,55673,40
127,54383,36
128,54251,31
129,52896,38
13,54024,33
130,52257,36
131,56831,26
132,54714,38
133,52251,40
134,52414,44
135,53416,35
136,54072,26
137,52662,37
138,51249,42
139,53494,29
14,54337,36
140,51672,32
141,57946,28
142,52162,43
143,54348,28
144,53049,43
145,51531,42
146,52789,42
147,56676,26
148,53111,38
149,54270,42
15,54274,36
150,54572,33
151,55396,34
152,51948,34
153,52925,40
154,58220,32
155,53467,35
156,52260,45
157,52965,40
158,58983,27
159,52492,47
16,53777,38
160,53655,41
161,53028,41
162,51301,47
163,53406,36
164,53831,37
165,50705,43
166,55398,34
167,54664,41
168,52092,43
169,54692,34
17,52151,39
170,51696,36
171,51926,36
172,52186,38
173,54451,34
174,51451,37
175,57872,33
176,58653,32
177,54317,34
178,52061,41
179,52668,38
18,52193,35
180,53352,44
181,51159,42
182,55452,41
183,52091,37
184,52035,40
185,58484,30
186,51245,37
187,53733,44
188,51684,40
189,53633,29
19,51853,45
190,53490,35
191,51177,41
192,56198,34
193,54866,36
194,53340,37
195,52420,49
196,57341,41
197,51099,42
198,54727,36
199,52368,46
2,58834,34
20,51830,40
200,53652,36
201,52680,30
202,53233,41
203,52920,39
204,58460,26
205,52093,45
206,53925,34
207,53033,36
208,57553,35
209,52240,32
21,55070,34
210,52842,36
211,53645,41
212,56163,30
213,52161,46
214,56372,28
215,52410,36
216,52761,32
217,55675,34
218,53990,35
219,51969,30
22,57118,32
220,52985,44
221,54529,39
222,52250,47
223,52361,36
224,53556,37
225,54368,47
226,51894,39
227,53496,43
228,52500,35
229,52575,45
23,54728,43
230,52981,28
231,52975,35
232,51600,42
233,53450,28
234,52419,39
235,53928,32
236,55811,29
237,51789,43
238,55363,36
239,59173,29
24,55828,37
240,52104,38
241,54601,36
242,54339,31
243,53183,38
244,53599,32
245,54743,39
246,55029,35
247,55801,36
248,58251,26
249,53625,39
25,52026,38
250,53580,34
251,52788,40
252,54847,37
253,55510,37
254,53297,35
255,55536,41
256,53304,40
257,55873,41
258,54327,35
259,53334,38
26,54407,36
260,53935,43
261,55698,32
262,53449,33
263,51919,46
264,52579,39
265,54630,29
266,52188,43
267,52013,51
268,52387,40
269,51305,42
27,52074,39
270,57084,39
271,56338,36
272,51067,42
273,51332,39
274,53938,34
275,56227,30
276,55234,31
277,53656,37
278,50387,46
279,58381,32
28,52172,37
280,52649,45
281,53976,46
282,53265,37
283,55296,35
284,52284,37
285,52080,35
286,52610,38
287,53612,36
288,54116,32
289,53289,44
29,52126,38
290,53817,41
291,55362,39
292,51866,38
293,54717,33
294,53400,37
295,57807,29
296,54717,32
297,50363,42
298,51919,39
299,52116,40
3,54789,39
30,53153,39
300,55563,37
301,53947,33
302,56518,31
303,51889,42
304,52431,37
305,52999,37
306,53110,34
307,53503,35
308,54615,35
309,54239,36
31,54886,30
310,50453,41
311,56365,41
312,53875,35
313,51775,38
314,53807,35
315,56169,33
316,52278,39
317,51757,39
318,50037,40
319,55896,33
32,52636,41
320,54883,31
321,54730,41
322,54088,38
323,53311,35
324,57392,33
325,51037,40
326,54117,36
327,52832,45
328,53623,46
329,52049,39
33,55787,29
330,53933,28
331,57336,40
332,54107,36
333,53795,38
334,52188,39
335,53847,32
336,49857,43
337,52597,45
338,52899,44
339,52044,46
34,50958,41
340,56858,20
341,55386,35
342,54366,34
343,51292,47
344,55887,27
345,53663,30
346,56876,29
347,56461,31
348,53787,32
349,53224,35
35,52757,40
350,56409,33
351,53502,38
352,57750,34
353,51111,46
354,52137,41
355,52825,40
356,54183,33
357,52830,31
358,55311,32
359,53336,30
36,56402,29
360,52617,38
361,54069,41
362,52451,38
363,51208,36
364,54655,26
365,53486,36
366,51643,46
367,54914,44
368,51850,40
369,54781,32
37,52739,33
370,53548,37
371,54016,34
372,59970,34
373,52432,34
374,55401,37
375,54611,38
376,51246,41
377,50978,41
378,51986,40
379,54485,39
38,52155,47
380,53977,28
381,53095,38
382,59528,27
383,51659,35
384,54877,38
385,52281,41
386,52959,34
387,52901,43
388,53967,32
389,56043,27
39,53314,39
390,54218,37
391,57402,28
392,53669,44
393,55146,30
394,53217,40
395,54110,40
396,55163,33
397,54882,31
398,53497,36
399,54821,41
4,56696,26
40,55829,34
400,53226,37
401,52182,42
402,53014,40
403,53349,32
404,52342,40
405,56893,34
406,52385,37
407,55827,28
408,52235,31
409,51588,33
41,53276,42
410,51864,42
411,53163,40
412,54795,36
413,51820,39
414,50393,34
415,53604,38
416,52477,36
417,51660,44
418,50295,42
419,53867,30
42,53262,47
420,51177,38
421,50419,43
422,53803,35
423,55384,33
424,57733,35
425,53558,31
426,54895,38
427,54476,37
428,53974,38
429,54303,36
43,52277,31
430,54464,33
431,50516,44
432,55148,36
433,52652,46
434,51038,42
435,55592,37
436,55290,39
437,54453,39
438,50925,37
439,53349,41
44,54451,35
440,52830,34
441,54207,39
442,51788,37
443,53055,40
444,51287,34
445,52343,42
446,52709,49
447,51922,42
448,55647,35
449,52946,38
45,50475,42
450,52890,41
451,56630,32
452,53555,39
453,54790,37
454,54923,34
455,51041,40
456,53078,41
457,53830,42
458,54676,32
459,54541,38
46,53825,41
460,55510,28
461,55403,34
462,54707,32
463,56734,26
464,54556,43
465,52363,38
466,53434,32
467,53800,40
468,53170,35
469,54619,40
47,50006,43
470,52829,33
471,55930,40
472,54127,39
473,54898,37
474,50859,44
475,52128,35
476,53577,36
477,52702,42
478,53970,33
479,53870,35
48,56256,38
480,54544,37
481,53765,39
482,51812,38
483,53670,40
484,52621,42
485,51239,49
486,52048,40
487,53540,30
488,51503,40
489,51177,41
49,52610,38
490,53139,34
491,52612,39
492,52194,41
493,55245,40
494,50762,45
495,51972,35
496,55873,37
497,57126,29
498,54564,36
499,53001,33
5,55521,36
50,54083,34
500,51562,43
501,56664,34
502,57540,35
503,53937,33
504,55842,34
505,55727,37
506,52016,40
507,55705,26
508,52413,39
509,52575,38
51,55348,31
510,53790,33
511,51255,42
