Solution name,Objective,Similarity
1,50270,30.981
10,50695,35.948
100,49337,36.309
1000,51891,32.447
101,47947,38.192
102,50554,35.09
103,52886,33.141
104,53270,33.636
105,48541,38.179
106,51681,32.431
107,46082,42.916
108,49387,37.274
109,50548,34.529
11,52146,31.232
110,49957,35.511
111,48824,38.734
112,48693,38.639
113,49342,36.867
114,47857,40.04
115,49897,31.613
116,48617,37.726
117,50159,35.954
118,52777,31.978
119,50766,37.218
12,55417,27.856
120,52359,34.732
121,50740,36.747
122,49735,36.357
123,47186,39.787
124,52278,33.956
125,50662,35.549
126,55246,32.658
127,47868,38.051
128,50354,37.279
129,47846,37.53
13,50216,37.516
130,50548,35.418
131,52857,32.795
132,50798,36.031
133,48216,38.591
134,47411,41.228
135,49468,38.062
136,51669,36.316
137,49453,37.075
138,52259,33.415
139,48571,39.509
14,55568,28.683
140,50150,35.689
141,48996,38.639
142,54823,32.532
143,51037,33.799
144,51901,30.296
145,49987,36.113
146,49395,34.889
147,50267,36.492
148,48934,35.892
149,49891,35.447
15,48679,40.225
150,51489,32.325
151,53118,31.56
152,50937,34.491
153,48822,42.381
154,49230,35.461
155,48195,40.391
156,54395,31.729
157,52230,32.569
158,48444,41.064
159,49388,37.133
16,48581,36.953
160,54654,31.006
161,47905,40.071
162,48037,40.287
163,49287,34.788
164,50527,36.709
165,53065,34.757
166,47438,41.338
167,50948,31.033
168,50850,35.162
169,47843,39.262
17,52459,33.814
170,53394,31.539
171,50678,36.805
172,50538,34.227
173,54995,28.223
174,47853,38.425
175,52496,34.079
176,53356,28.139
177,52745,33.428
178,52644,33.117
179,47195,41.514
18,52413,32.258
180,50569,33.934
181,51491,32.067
182,48945,36.193
183,46990,39.174
184,48696,38.872
185,53528,27.754
186,51396,33.914
187,53745,32.506
188,49600,35.636
189,50173,33.985
19,48837,41.169
190,51277,34.835
191,52733,35.143
192,48393,39.11
193,51285,34.61
194,50533,32.993
195,53261,34.636
196,51802,34.538
197,50599,33.279
198,50189,35.231
199,49233,36.398
2,53380,33.781
