Solution name,Objective,Similarity
1,50270,82.524
10,50695,82.2
100,49337,83.94
1000,51891,83.065
101,47947,84.634
102,50554,80.881
103,52886,82.984
104,53270,82.924
105,48541,82.491
106,51681,80.561
107,46082,83.338
108,49387,83.916
109,50548,85.849
11,52146,84.196
110,49957,81.705
111,48824,84.116
112,48693,82.185
113,49342,84.283
114,47857,85.247
115,49897,82.278
116,48617,82.117
117,50159,81.686
118,52777,80.671
119,50766,84.38
12,55417,82.065
120,52359,82.035
121,50740,83.68
122,49735,80.877
123,47186,84.765
124,52278,81.516
125,50662,84.289
126,55246,82.165
127,47868,80.626
128,50354,82.389
129,47846,83.453
13,50216,83.03
130,50548,83.133
131,52857,82.422
132,50798,82.609
133,48216,83.635
134,47411,83.092
135,49468,83.987
136,51669,82.213
137,49453,85.875
138,52259,84.396
139,48571,83.147
14,55568,80.879
140,50150,83.801
141,48996,84.363
142,54823,80.551
143,51037,82.197
144,51901,79.524
145,49987,84.204
146,49395,84.391
147,50267,82.379
148,48934,84.476
149,49891,84.435
15,48679,85.099
150,51489,81.781
151,53118,83.368
152,50937,82.462
153,48822,85.5
154,49230,82.884
155,48195,85.53
156,54395,82.764
157,52230,82.427
158,48444,83.431
159,49388,82.932
16,48581,83.417
160,54654,81.332
161,47905,83.188
162,48037,82.584
163,49287,80.693
164,50527,82.333
165,53065,81.382
166,47438,83.98
167,50948,82.461
168,50850,81.816
169,47843,84.634
17,52459,82.319
170,53394,81.451
171,50678,84.044
172,50538,82.104
173,54995,83.656
174,47853,84.738
175,52496,81.812
176,53356,84.859
177,52745,83.36
178,52644,80.496
179,47195,82.99
18,52413,83.189
180,50569,82.396
181,51491,81.553
182,48945,82.909
183,46990,82.503
184,48696,83.909
185,53528,78.459
186,51396,84.186
187,53745,82.661
188,49600,83.748
189,50173,83.547
19,48837,84.572
190,51277,80.269
191,52733,81.962
192,48393,84.17
193,51285,84.514
194,50533,82.658
195,53261,81.002
196,51802,82.033
197,50599,82.594
198,50189,82.362
199,49233,82.431
2,53380,83.254
20,50041,84.321
200,48582,82.101
201,51334,82.875
202,47747,83.02
203,52953,83.918
204,52854,82.383
205,51212,82.468
206,49731,81.583
207,56356,83.188
208,49121,84.822
209,48635,84.097
21,48150,84.893
210,52247,84.037
211,51075,82.425
212,51827,82.52
213,48596,83.131
214,47702,84.061
215,49962,83.334
216,49686,80.017
217,54592,83.8
218,54219,81.839
219,48902,82.541
22,48625,80.153
220,54643,84.664
221,51647,83.382
222,50300,81.716
223,48876,83.252
224,50243,80.437
225,51230,78.566
226,51474,82.482
227,52962,83.175
228,51461,85.561
229,50736,82.309
23,48634,83.862
230,51939,82.877
231,49763,81.606
232,50127,84.69
233,52863,83.388
234,50900,83.798
235,48269,82.06
236,52046,82.447
237,50428,83.261
238,48933,84.161
239,49285,81.301
24,53473,81.024
240,56674,81.659
241,51659,83.985
242,49084,83.173
243,53230,80.765
244,46911,82.961
245,54715,80.761
246,48633,83.692
247,50132,82.54
248,46221,85.532
249,50389,80.875
25,50539,82.849
250,50108,83.021
251,53825,83.888
252,50464,84.145
253,47866,83.647
254,50924,82.495
255,49454,81.29
256,54060,83.174
257,48731,80.809
258,49024,82.984
259,50739,81.118
26,48007,83.377
260,53565,81.214
261,49686,82.173
262,48904,84.056
263,51232,82.805
264,48132,84.848
265,47478,83.417
266,49868,84.151
267,53015,82.714
268,49648,83.697
269,55395,81.045
27,48888,84.249
270,49026,82.389
271,50030,82.899
272,52248,81.666
273,50869,83.458
274,50870,82.95
275,49272,83.635
276,49953,81.631
277,48170,85.218
278,50670,81.938
279,52356,83.448
28,46074,84.12
280,48678,82.64
281,49583,79.56
282,49899,83.526
283,51321,84.975
284,51330,84.228
285,50422,82.601
286,52597,82.444
287,50323,82.11
288,48943,83.659
289,49175,82.337
29,49805,83.745
290,52238,80.552
291,49882,84.193
292,48056,82.818
293,50220,83.087
294,55725,82.161
295,56342,82.021
296,50913,81.763
297,47548,84.324
298,49395,84.203
299,49901,81.783
3,48826,82.694
30,49554,82.592
300,52000,82.07
301,49660,84.281
302,52562,84.775
303,52689,81.129
304,49392,84.196
305,52324,81.1
306,50441,82.005
307,50519,81.669
308,47907,82.286
309,53269,83.375
31,55047,82.075
310,50151,82.716
311,52717,80.127
312,49390,81.766
313,46893,83.648
314,54080,82.029
315,50738,83.477
316,50050,81.79
317,49065,81.683
318,49161,82.576
319,51145,80.395
32,51753,81.427
320,53995,81.553
321,57317,80.879
322,50913,82.704
323,49323,83.359
324,51112,81.612
325,51373,82.884
326,49142,82.717
327,56065,84.63
328,52008,81.953
329,52019,83.309
33,47515,84.743
330,50491,82.128
331,49281,81.714
332,51862,81.877
333,51670,81.856
334,53730,80.772
335,50064,83.467
336,50895,83.279
337,48999,84.26
338,52304,82.77
339,48182,84.323
34,50170,83.587
340,50359,84.456
341,55761,80.932
342,51219,82.102
343,50531,82.339
344,54468,82.103
345,50192,81.398
346,49329,81.248
347,49886,83.734
348,52362,80.535
349,49922,82.274
35,50962,81.735
350,50362,81.466
351,49927,84.126
352,51739,84.393
353,52979,81.813
354,55354,80.953
355,52465,82.117
356,50342,80.829
357,52726,83.211
358,49822,82.072
359,50106,83.567
36,54485,84.403
360,54398,82.277
361,48160,81.503
362,54480,82.391
363,47612,83.061
364,54788,83.239
365,50400,83.837
366,49823,83.316
367,52265,83.686
368,48278,82.795
369,51375,84.274
37,49694,80.803
370,51137,83.965
371,55278,81.451
372,49197,81.011
373,51446,80.69
374,49291,83.668
375,50159,83.734
376,50834,82.094
377,52191,82.119
378,46926,83.875
379,50941,83.119
38,49979,81.944
380,54047,84.305
381,53711,81.379
382,49024,81.822
383,51577,82.884
384,49798,82.786
385,51038,85.946
386,49625,81.498
387,49667,81.694
388,49504,82.606
389,55970,82.581
39,50418,82.9
390,49752,82.799
391,52972,79.826
392,50148,81.633
393,48979,81.293
394,51595,83.291
395,48055,83.027
396,46608,82.607
397,48357,84.845
398,50751,81.491
399,54126,80.818
4,48692,84.634
40,47393,82.541
400,50359,82.287
401,54082,77.817
402,50515,82.914
403,51902,83.041
404,51859,82.086
405,47780,84.582
406,51178,82.915
407,48303,82.366
408,49354,82.402
409,51290,83.567
41,52678,81.777
410,51613,81.532
411,49632,82.925
412,54262,82.474
413,53589,81.796
414,50145,82.806
415,48606,84.158
416,53167,81.768
417,50013,83.382
418,51531,82.563
419,49693,84.564
42,49232,80.641
420,49426,84.019
421,50699,83.093
422,53080,81.392
423,48723,80.67
424,50775,82.347
425,48735,82.426
426,50690,83.647
427,48767,81.148
428,51396,80.188
429,51642,83.12
43,51500,83.082
430,52971,79.935
431,48783,80.631
432,55280,82.992
433,54043,81.119
434,50775,82.98
435,50604,82.896
436,51893,81.979
437,47358,83.589
438,53148,83.709
439,52481,83.954
44,50890,84.586
440,51505,82.617
441,48189,83.702
442,47120,84.623
443,49413,82.827
444,51550,78.912
445,50443,84.426
446,49327,82.021
447,50921,82.546
448,50067,80.174
449,53424,83.033
45,54453,80.234
450,51033,82.739
451,51251,83.962
452,50629,85.16
453,50813,83.031
454,49381,81.166
455,49098,80.617
456,46915,84.089
457,51391,83.02
458,52635,82.616
459,51261,84.297
46,50138,82.771
460,52329,83.203
461,50860,81.351
462,50069,82.915
463,52263,81.632
464,46738,83.033
465,47440,86.007
466,53236,80.797
467,50102,82.603
468,51526,82.668
469,54112,80.439
47,49830,81.697
470,46909,84.219
471,50470,82.811
472,50839,83.626
473,52179,83.297
474,48448,84.32
475,47229,82.493
476,52442,82.857
477,51402,83.162
478,52574,83.467
479,50813,80.432
48,53163,81.774
480,52839,81.929
481,52987,83.441
482,51296,82.724
483,47884,84.121
484,51252,82.021
485,51224,80.803
486,54946,82.669
487,52604,83.762
488,50705,82.068
489,49083,82.094
49,48939,81.9
490,51213,81.245
491,50620,83.015
492,49817,82.348
493,52377,82.19
494,49876,83.311
495,47202,81.259
496,52137,81.892
497,51371,83.852
498,50351,79.784
499,52499,81.172
5,51727,84.212
50,49616,84.474
500,50676,83.004
501,51454,83.646
502,53081,82.277
503,52726,81.967
504,50699,82.882
505,52783,80.582
506,52211,82.717
507,50751,80.364
508,53300,79.947
509,56530,80.706
51,49682,81.155
510,49552,84.839
511,51408,81.021
512,49185,81.814
513,55853,84.479
514,52163,83.799
515,53496,84.331
516,55004,80.031
517,55679,79.847
518,49423,82.65
519,50720,85.763
52,51425,82.58
520,51393,83.685
521,49834,84.168
522,51377,83.796
523,51599,82.111
524,52444,82.753
525,52158,81.714
526,49849,82.222
527,51835,83.524
528,49468,80.791
529,53440,80.508
53,49153,81.107
530,49510,83.703
531,50262,83.407
532,56221,79.811
533,49956,81.951
534,55677,79.345
535,47591,84.451
536,50028,82.121
537,50950,81.888
538,52459,80.4
539,48310,81.968
54,48110,83.424
540,51849,81.507
541,48317,79.979
542,50637,83.741
543,51617,83.459
544,50534,81.575
545,53896,85.36
546,47019,84.232
547,49950,83.039
548,48749,82.276
549,49929,82.507
55,50539,81.866
550,49011,82.922
551,48325,84.327
552,49988,83.174
553,50023,81.723
554,51141,83.466
555,52044,83.094
556,49688,80.421
557,48946,84.158
558,49651,81.753
559,50419,83.435
56,49217,82.04
560,48533,81.609
561,52660,83.366
562,53587,82.736
563,51747,84.587
564,50731,81.998
565,51648,83.34
566,51032,81.799
567,48205,80.206
568,47721,83.005
569,47913,84.294
57,50592,82.377
570,52300,84.121
571,48725,84.051
572,51065,82.48
573,51373,84.531
574,51804,85.391
575,49684,83.791
576,45661,83.648
577,46071,85.325
578,49346,82.215
579,51954,82.473
58,48953,81.033
580,49257,82.799
581,47715,83.59
582,54631,82.559
583,47384,82.801
584,51067,80.648
585,51819,83.111
586,50117,83.318
587,50832,80.616
