Solution name,Objective,Similarity
1,50270,84
10,50695,85
100,49337,85
1000,51891,82
101,47947,85
102,50554,81
103,52886,85
104,53270,83
105,48541,83
106,51681,81
107,46082,87
108,49387,84
109,50548,88
11,52146,83
110,49957,84
111,48824,86
112,48693,86
113,49342,84
114,47857,86
115,49897,85
116,48617,85
117,50159,84
118,52777,81
119,50766,87
12,55417,84
120,52359,81
121,50740,86
122,49735,84
123,47186,86
124,52278,83
125,50662,84
126,55246,80
127,47868,84
128,50354,85
129,47846,87
13,50216,87
130,50548,82
131,52857,84
132,50798,87
133,48216,88
134,47411,88
135,49468,86
136,51669,83
137,49453,84
138,52259,85
139,48571,85
14,55568,83
140,50150,90
141,48996,86
142,54823,78
143,51037,82
144,51901,81
145,49987,88
146,49395,86
147,50267,85
148,48934,83
149,49891,86
15,48679,85
150,51489,84
151,53118,86
152,50937,83
153,48822,85
154,49230,85
155,48195,87
156,54395,81
157,52230,83
158,48444,82
159,49388,84
16,48581,86
160,54654,82
161,47905,85
162,48037,82
163,49287,82
164,50527,82
165,53065,83
166,47438,86
167,50948,83
168,50850,83
169,47843,90
17,52459,84
170,53394,80
171,50678,86
172,50538,86
173,54995,84
174,47853,87
175,52496,85
176,53356,87
177,52745,82
178,52644,79
179,47195,85
18,52413,84
180,50569,82
181,51491,83
182,48945,81
183,46990,83
184,48696,86
185,53528,79
186,51396,85
187,53745,82
188,49600,87
189,50173,84
19,48837,87
190,51277,80
191,52733,83
192,48393,84
193,51285,86
194,50533,84
195,53261,84
196,51802,81
197,50599,84
198,50189,82
199,49233,83
2,53380,84
20,50041,86
200,48582,84
201,51334,83
202,47747,85
203,52953,83
204,52854,81
205,51212,85
206,49731,83
207,56356,82
208,49121,86
209,48635,89
21,48150,86
210,52247,87
211,51075,85
212,51827,82
213,48596,82
214,47702,85
215,49962,84
216,49686,80
217,54592,85
218,54219,78
219,48902,85
22,48625,86
220,54643,85
221,51647,84
222,50300,81
223,48876,80
224,50243,80
225,51230,75
226,51474,81
227,52962,84
228,51461,86
229,50736,81
23,48634,83
230,51939,84
231,49763,82
232,50127,88
233,52863,81
234,50900,83
235,48269,83
236,52046,83
237,50428,86
238,48933,85
239,49285,84
24,53473,85
240,56674,82
241,51659,83
242,49084,86
243,53230,78
244,46911,86
245,54715,81
246,48633,83
247,50132,85
248,46221,85
249,50389,85
